country,food_category,consumption,co2_emission                         
Luxembourg,dairy,255.3,363.65000000000003                              
Luxembourg,wheat,103.2,19.68                                           
Luxembourg,rice,4.2,5.37                                               
Luxembourg,soybeans,0.04,0.02                                          
Luxembourg,nuts,0.93,1.6500000000000001                                
Brazil,pork,12.6,44.6                                                  
Brazil,poultry,45,48.339999999999996                                   
Brazil,beef,39.25,1211.1699999999998                                   
Brazil,lamb_goat,0.62,21.71                                            
Brazil,fish,10.01,15.98                                                
Brazil,eggs,8.98,8.25                                                  
Brazil,dairy,149.28,212.63                                             
Brazil,wheat,53,10.11                                                  
Brazil,rice,32.13,41.120000000000005                                   
Brazil,soybeans,3.62,1.6300000000000001                                
Brazil,nuts,0.6699999999999999,1.1900000000000002                      
Kazakhstan,pork,10.360000000000001,36.67                               
Kazakhstan,poultry,18.38,19.74                                         
Kazakhstan,beef,23.38,721.4599999999999                                
Kazakhstan,lamb_goat,9.56,334.78999999999996                           
Kazakhstan,fish,5.21,8.32                                              
Kazakhstan,eggs,8.29,7.619999999999999                                 
Kazakhstan,dairy,288.12,410.4                                          
Kazakhstan,wheat,92.31,17.6                                            
Kazakhstan,rice,7.319999999999999,9.370000000000001                    
Kazakhstan,soybeans,0.03,0.01                                          
Kazakhstan,nuts,5.14,9.1                                               
Sweden,pork,37,130.96                                                  
Sweden,poultry,16.64,17.87                                             
Sweden,beef,24.58,758.49                                               
Sweden,lamb_goat,1.41,49.379999999999995                               
Sweden,fish,23.86,38.1                                                 
Sweden,eggs,13.370000000000001,12.28                                   
Sweden,dairy,341.22999999999996,486.05                                 
Sweden,wheat,79.59,15.18                                               
Sweden,rice,5.96,7.63                                                  
Sweden,soybeans,0.13,0.06                                              
Sweden,nuts,6.23,11.03                                                 
Bermuda,pork,28.24,99.96000000000001                                   
Bermuda,poultry,32.620000000000005,35.04                               
Bermuda,beef,33.15,1022.9399999999999                                  
Bermuda,lamb_goat,2.71,94.9                                            
Bermuda,fish,33.220000000000006,53.04                                  
Bermuda,eggs,14.92,13.709999999999999                                  
Bermuda,dairy,95.56,136.12                                             
Bermuda,wheat,54.879999999999995,10.47                                 
Bermuda,rice,5.38,6.88                                                 
Bermuda,soybeans,0.22,0.1                                              
Bermuda,nuts,5.72,10.12                                                
Denmark,pork,24.87,88.03                                               
Denmark,poultry,26.75,28.73                                            
Denmark,beef,28.459999999999997,878.22                                 
Denmark,lamb_goat,0.92,32.220000000000006                              
Denmark,fish,16.49,26.330000000000002                                  
Denmark,eggs,15.350000000000001,14.1                                   
Denmark,dairy,277.3,394.98999999999995                                 
Denmark,wheat,98,18.69                                                 
Denmark,rice,4.96,6.35                                                 
Denmark,soybeans,0.03,0.01                                             
Denmark,nuts,5.94,10.51                                                
Finland,pork,36.14,127.92                                              
Finland,poultry,19.87,21.34                                            
Finland,beef,19.22,593.09                                              
Finland,lamb_goat,0.53,18.56                                           
Finland,fish,33.8,53.97                                                
Finland,eggs,9.55,8.77                                                 
Finland,dairy,430.76,613.57                                            
Finland,wheat,81.99000000000001,15.639999999999999                     
Finland,rice,4.42,5.659999999999999                                    
Finland,soybeans,0.08,0.04                                             
Finland,nuts,3.4299999999999997,6.07                                   
Ireland,pork,32.4,114.67999999999999                                   
Ireland,poultry,26.259999999999998,28.21                               
Ireland,beef,22.35,689.6700000000001                                   
Ireland,lamb_goat,4.1,143.58                                           
Ireland,fish,17.39,27.77                                               
Ireland,eggs,8.96,8.229999999999999                                    
Ireland,dairy,291.86,415.72999999999996                                
Ireland,wheat,107.98,20.59                                             
Ireland,rice,3,3.84                                                    
Ireland,soybeans,0.25,0.11                                             
Ireland,nuts,4.1,7.26                                                  
Greece,pork,28.310000000000002,100.2                                   
Greece,poultry,15.739999999999998,16.91                                
Greece,beef,16.1,496.81                                                
Greece,lamb_goat,12.47,436.7                                           
Greece,fish,14.42,23.02                                                
Greece,eggs,10.129999999999999,9.31                                    
Greece,dairy,255.26,363.59                                             
Greece,wheat,124.04,23.650000000000002                                 
Greece,rice,6.64,8.5                                                   
Greece,soybeans,0.02,0.01                                              
Greece,nuts,10.5,18.59                                                 
France,pork,33.05,116.98                                               
France,poultry,22.93,24.630000000000003                                
France,beef,23.810000000000002,734.73                                  
France,lamb_goat,3.2800000000000002,114.86999999999999                 
France,fish,22.91,36.58                                                
France,eggs,13.129999999999999,12.06                                   
France,dairy,241.31,343.71999999999997                                 
France,wheat,108.43,20.68                                              
France,rice,4.88,6.24                                                  
France,soybeans,0.05,0.02                                              
France,nuts,5.39,9.54                                                  
Canada,pork,22.810000000000002,80.74000000000001                       
Canada,poultry,36.68,39.4                                              
Canada,beef,30.25,933.4499999999999                                    
Canada,lamb_goat,0.97,33.97                                            
Canada,fish,14.56,23.25                                                
Canada,eggs,12.950000000000001,11.9                                    
Canada,dairy,187.76999999999998,267.46                                 
Canada,wheat,84.96000000000001,16.2                                    
Canada,rice,12.65,16.19                                                
Canada,soybeans,0.9400000000000001,0.42000000000000004                 
Canada,nuts,8.01,14.18                                                 
Norway,pork,23.51,83.21000000000001                                    
Norway,poultry,21.01,22.57                                             
Norway,beef,19.830000000000002,611.91                                  
Norway,lamb_goat,5.34,187.01                                           
Norway,fish,38.18,60.96                                                
Norway,eggs,11.41,10.48                                                
Norway,dairy,261.34000000000003,372.25                                 
Norway,wheat,97.11999999999999,18.52                                   
Norway,rice,4.359999999999999,5.58                                     
Norway,soybeans,0.11,0.05                                              
Norway,nuts,5.28,9.350000000000001                                     
Hong Kong SAR. China,pork,67.11,237.54                                 
Hong Kong SAR. China,poultry,54.86,58.93                               
Hong Kong SAR. China,beef,25.82,796.75                                 
Hong Kong SAR. China,lamb_goat,2.22,77.74000000000001                  
Hong Kong SAR. China,fish,42.44,67.76                                  
Hong Kong SAR. China,eggs,14.5,13.32                                   
Hong Kong SAR. China,dairy,105.85,150.76999999999998                   
Hong Kong SAR. China,wheat,53.14,10.129999999999999                    
Hong Kong SAR. China,rice,43.48,55.64                                  
Hong Kong SAR. China,soybeans,2.79,1.26                                
Hong Kong SAR. China,nuts,13.81,24.439999999999998                     
French Polynesia,pork,14.75,52.21                                      
French Polynesia,poultry,49.55,53.230000000000004                      
French Polynesia,beef,30.9,953.51                                      
French Polynesia,lamb_goat,2.8299999999999996,99.11                    
French Polynesia,fish,38.949999999999996,62.190000000000005            
French Polynesia,eggs,8.75,8.04                                        
French Polynesia,dairy,93.56,133.26999999999998                        
French Polynesia,wheat,68.66999999999999,13.1                          
French Polynesia,rice,35.59,45.54                                      
French Polynesia,soybeans,0.77,0.35                                    
French Polynesia,nuts,2.34,4.14                                        
Israel,pork,1.99,7.04                                                  
Israel,poultry,62.5,67.14                                              
Israel,beef,28.779999999999998,888.09                                  
Israel,lamb_goat,1.87,65.49000000000001                                
Israel,fish,22.18,35.41                                                
Israel,eggs,11.350000000000001,10.43                                   
Israel,dairy,193.6,275.76                                              
Israel,wheat,110.86,21.14                                              
Israel,rice,16.810000000000002,21.51                                   
Israel,soybeans,0.1,0.05                                               
Israel,nuts,7.71,13.65                                                 
Switzerland,pork,31.49,111.46000000000001                              
Switzerland,poultry,16.38,17.6                                         
Switzerland,beef,21.259999999999998,656.04                             
Switzerland,lamb_goat,1.42,49.730000000000004                          
Switzerland,fish,13.48,21.52                                           
Switzerland,eggs,10.53,9.67                                            
Switzerland,dairy,318.69,453.94                                        
Switzerland,wheat,89.51,17.07                                          
Switzerland,rice,2.4299999999999997,3.11                               
Switzerland,soybeans,0.44,0.2                                          
Switzerland,nuts,9.27,16.41                                            
Netherlands,pork,36.36,128.7                                           
Netherlands,poultry,23.9,25.67                                         
Netherlands,beef,17.67,545.26                                          
Netherlands,lamb_goat,0.9400000000000001,32.92                         
Netherlands,fish,18.64,29.759999999999998                              
Netherlands,eggs,14.03,12.89                                           
Netherlands,dairy,341.46999999999997,486.39                            
Netherlands,wheat,70.16999999999999,13.38                              
Netherlands,rice,2.9299999999999997,3.75                               
Netherlands,soybeans,0.12000000000000001,0.05                          
Netherlands,nuts,7.94,14.05                                            
Kuwait,pork,0,0                                                        
Kuwait,poultry,53.61,57.59                                             
Kuwait,beef,13.03,402.08                                               
Kuwait,lamb_goat,15.61,546.66                                          
Kuwait,fish,11.99,19.14                                                
Kuwait,eggs,12.6,11.57                                                 
Kuwait,dairy,157.66,224.57                                             
Kuwait,wheat,96.76,18.45                                               
Kuwait,rice,43.83,56.09                                                
Kuwait,soybeans,0.06,0.03                                              
Kuwait,nuts,5.23,9.26                                                  
United Kingdom,pork,25.79,91.28                                        
United Kingdom,poultry,31.55,33.89                                     
United Kingdom,beef,18.12,559.15                                       
United Kingdom,lamb_goat,4.49,157.23999999999998                       
United Kingdom,fish,15.49,24.73                                        
United Kingdom,eggs,11.08,10.18                                        
United Kingdom,dairy,232.2,330.75                                      
United Kingdom,wheat,98.63,18.810000000000002                          
United Kingdom,rice,6.39,8.18                                          
United Kingdom,soybeans,0.05,0.02                                      
United Kingdom,nuts,4.18,7.4                                           
Austria,pork,52.56,186.04                                              
Austria,poultry,18.610000000000003,19.99                               
Austria,beef,17.14,528.9                                               
Austria,lamb_goat,1.1600000000000001,40.620000000000005                
Austria,fish,12.16,19.419999999999998                                  
Austria,eggs,14.68,13.49                                               
Austria,dairy,258.09,367.62                                            
Austria,wheat,81.1,15.47                                               
Austria,rice,3.7,4.73                                                  
Austria,soybeans,2.06,0.93                                             
Austria,nuts,7.88,13.950000000000001                                   
Oman,pork,0.01,0.04                                                    
Oman,poultry,31.51,33.849999999999994                                  
Oman,beef,15.1,465.95                                                  
Oman,lamb_goat,12.870000000000001,450.71                               
Oman,fish,21.56,34.42                                                  
Oman,eggs,7.8,7.17                                                     
Oman,dairy,152.28,216.91                                               
Oman,wheat,64.1,12.219999999999999                                     
Oman,rice,56.55,72.36999999999999                                      
Oman,soybeans,0.21000000000000002,0.09                                 
Oman,nuts,1.6800000000000002,2.9699999999999998                        
Italy,pork,40.28,142.57                                                
Italy,poultry,18.610000000000003,19.99                                 
Italy,beef,18.6,573.9599999999999                                      
Italy,lamb_goat,0.92,32.220000000000006                                
Italy,fish,15.6,24.91                                                  
Italy,eggs,13.34,12.25                                                 
Italy,dairy,246.88000000000002,351.66                                  
Italy,wheat,146.37,27.91                                               
Italy,rice,5.74,7.35                                                   
Italy,soybeans,0.01,0                                                  
Italy,nuts,7.63,13.51                                                  
Bahamas,pork,32.74,115.88                                              
Bahamas,poultry,45.74,49.13                                            
Bahamas,beef,19.919999999999998,614.69                                 
Bahamas,lamb_goat,5.22,182.8                                           
Bahamas,fish,18.8,30.02                                                
Bahamas,eggs,6.2,5.7                                                   
Bahamas,dairy,104.76,149.22                                            
Bahamas,wheat,39.98,7.619999999999999                                  
Bahamas,rice,23.97,30.67                                               
Bahamas,soybeans,0.09,0.04                                             
Bahamas,nuts,4.03,7.13                                                 
Portugal,pork,37.91,134.18                                             
Portugal,poultry,30.14,32.379999999999995                              
Portugal,beef,16.45,507.61                                             
Portugal,lamb_goat,2.38,83.35                                          
Portugal,fish,45.39,72.47                                              
Portugal,eggs,9.05,8.31                                                
Portugal,dairy,205.04,292.06                                           
Portugal,wheat,94.3,17.979999999999997                                 
Portugal,rice,14.860000000000001,19.02                                 
Portugal,soybeans,0.01,0                                               
Portugal,nuts,3.9099999999999997,6.92                                  
Malta,pork,34.24,121.19                                                
Malta,poultry,26.4,28.36                                               
Malta,beef,19.22,593.09                                                
Malta,lamb_goat,1.1900000000000002,41.67                               
Malta,fish,24.58,39.25                                                 
Malta,eggs,11.639999999999999,10.69                                    
Malta,dairy,190.06,270.71999999999997                                  
Malta,wheat,139.58,26.62                                               
Malta,rice,4.96,6.35                                                   
Malta,soybeans,0.05,0.02                                               
Malta,nuts,5.619999999999999,9.950000000000001                         
Armenia,pork,9.67,34.230000000000004                                   
Armenia,poultry,13.350000000000001,14.34                               
Armenia,beef,19.66,606.6700000000001                                   
Armenia,lamb_goat,3.02,105.76                                          
Armenia,fish,4.359999999999999,6.96                                    
Armenia,eggs,11.69,10.739999999999998                                  
Armenia,dairy,209.03,297.74                                            
Armenia,wheat,130.6,24.91                                              
Armenia,rice,3.18,4.07                                                 
Armenia,soybeans,0,0                                                   
Armenia,nuts,2.55,4.51                                                 
Slovenia,pork,28.19,99.78                                              
Slovenia,poultry,23.459999999999997,25.2                               
Slovenia,beef,18.43,568.71                                             
Slovenia,lamb_goat,0.7899999999999999,27.67                            
Slovenia,fish,7.76,12.39                                               
Slovenia,eggs,9.360000000000001,8.6                                    
Slovenia,dairy,235.01,334.75                                           
Slovenia,wheat,103.43,19.72                                            
Slovenia,rice,3.9499999999999997,5.05                                  
Slovenia,soybeans,0.75,0.33999999999999997                             
Slovenia,nuts,5.28,9.350000000000001                                   
Chile,pork,24.68,87.35                                                 
Chile,poultry,36.52,39.230000000000004                                 
Chile,beef,23.86,736.2700000000001                                     
Chile,lamb_goat,0.42000000000000004,14.709999999999999                 
Chile,fish,7.6499999999999995,12.209999999999999                       
Chile,eggs,9.97,9.16                                                   
Chile,dairy,116.11,165.39000000000001                                  
Chile,wheat,104.74000000000001,19.97                                   
Chile,rice,8.850000000000001,11.33                                     
Chile,soybeans,0.04,0.02                                               
Chile,nuts,2.22,3.9299999999999997                                     
Venezuela,pork,7.23,25.59                                              
Venezuela,poultry,39.28,42.190000000000005                             
Venezuela,beef,25.89,798.91                                            
Venezuela,lamb_goat,0.32,11.209999999999999                            
Venezuela,fish,8.34,13.32                                              
Venezuela,eggs,5.63,5.17                                               
Venezuela,dairy,117.79,167.78                                          
Venezuela,wheat,49.17,9.38                                             
Venezuela,rice,23.39,29.93                                             
Venezuela,soybeans,0,0                                                 
Venezuela,nuts,0.35,0.62                                               
Belgium,pork,38.65,136.8                                               
Belgium,poultry,12.2,13.11                                             
Belgium,beef,15.629999999999999,482.31                                 
Belgium,lamb_goat,1.32,46.230000000000004                              
Belgium,fish,18.97,30.29                                               
Belgium,eggs,12.59,11.57                                               
Belgium,dairy,236.19,336.42999999999995                                
Belgium,wheat,111.91000000000001,21.34                                 
Belgium,rice,8.61,11.02                                                
Belgium,soybeans,0.07,0.03                                             
Belgium,nuts,7.319999999999999,12.96                                   
Germany,pork,51.809999999999995,183.38000000000002                     
Germany,poultry,17.75,19.07                                            
Germany,beef,13.16,406.09                                              
Germany,lamb_goat,0.73,25.56                                           
Germany,fish,11.16,17.82                                               
Germany,eggs,12.2,11.209999999999999                                   
Germany,dairy,258.7,368.48999999999995                                 
Germany,wheat,83.41000000000001,15.91                                  
Germany,rice,3.34,4.2700000000000005                                   
Germany,soybeans,0.88,0.4                                              
Germany,nuts,7.96,14.09                                                
Russia,pork,25.66,90.82                                                
Russia,poultry,27.5,29.54                                              
Russia,beef,16.979999999999997,523.97                                  
Russia,lamb_goat,1.4,49.03                                             
Russia,fish,20.82,33.24                                                
Russia,eggs,15.43,14.17                                                
Russia,dairy,163.57,232.99                                             
Russia,wheat,130.99,24.979999999999997                                 
Russia,rice,4.71,6.03                                                  
Russia,soybeans,0.05,0.02                                              
Russia,nuts,1.62,2.8699999999999997                                    
Croatia,pork,42.790000000000006,151.46                                 
Croatia,poultry,8.52,9.15                                              
Croatia,beef,12.41,382.95                                              
Croatia,lamb_goat,1.71,59.879999999999995                              
Croatia,fish,15.83,25.279999999999998                                  
Croatia,eggs,8.48,7.79                                                 
Croatia,dairy,231.02,329.06                                            
Croatia,wheat,106.59,20.330000000000002                                
Croatia,rice,2.64,3.38                                                 
Croatia,soybeans,0,0                                                   
Croatia,nuts,3.88,6.87                                                 
Belarus,pork,40.37,142.89000000000001                                  
Belarus,poultry,31.29,33.61                                            
Belarus,beef,17.110000000000003,527.98                                 
Belarus,lamb_goat,0.11,3.8499999999999996                              
Belarus,fish,15.75,25.150000000000002                                  
Belarus,eggs,15.860000000000001,14.57                                  
Belarus,dairy,133.73,190.49                                            
Belarus,wheat,60.48,11.53                                              
Belarus,rice,3.17,4.06                                                 
Belarus,soybeans,0.3,0.14                                              
Belarus,nuts,3.36,5.95                                                 
Spain,pork,48.92,173.15                                                
Spain,poultry,28.630000000000003,30.75                                 
Spain,beef,12.15,374.91999999999996                                    
Spain,lamb_goat,2.16,75.64                                             
Spain,fish,28.830000000000002,46.03                                    
Spain,eggs,13.32,12.239999999999998                                    
Spain,dairy,164.29,234.01                                              
Spain,wheat,93.88,17.9                                                 
Spain,rice,8.32,10.65                                                  
Spain,soybeans,0.02,0.01                                               
Spain,nuts,7.44,13.17                                                  
Paraguay,pork,26.24,92.88                                              
Paraguay,poultry,6.39,6.859999999999999                                
Paraguay,beef,19.810000000000002,611.2900000000001                     
Paraguay,lamb_goat,0.56,19.610000000000003                             
Paraguay,fish,3.6,5.75                                                 
Paraguay,eggs,18.830000000000002,17.3                                  
Paraguay,dairy,75.72,107.86                                            
Paraguay,wheat,31.51,6.01                                              
Paraguay,rice,4.91,6.28                                                
Paraguay,soybeans,0,0                                                  
Paraguay,nuts,1.6,2.8299999999999996                                   
New Caledonia,pork,19.9,70.44000000000001                              
New Caledonia,poultry,44.36,47.65                                      
New Caledonia,beef,16.07,495.89                                        
New Caledonia,lamb_goat,1.95,68.29                                     
New Caledonia,fish,19.38,30.939999999999998                            
New Caledonia,eggs,8.850000000000001,8.129999999999999                 
New Caledonia,dairy,108,153.84                                         
New Caledonia,wheat,81.75,15.59                                        
New Caledonia,rice,17.47,22.36                                         
New Caledonia,soybeans,0.55,0.25                                       
New Caledonia,nuts,2.96,5.24                                           
South Africa,pork,4.159999999999999,14.719999999999999                 
South Africa,poultry,37.57,40.36                                       
South Africa,beef,18.03,556.37                                         
South Africa,lamb_goat,4.28,149.89000000000001                         
South Africa,fish,5.56,8.88                                            
South Africa,eggs,7.21,6.619999999999999                               
South Africa,dairy,55.75,79.41000000000001                             
South Africa,wheat,60.13,11.47                                         
South Africa,rice,17.41,22.279999999999998                             
South Africa,soybeans,1.27,0.5700000000000001                          
South Africa,nuts,1.04,1.84                                            
Barbados,pork,8.3,29.38                                                
Barbados,poultry,42.620000000000005,45.78                              
Barbados,beef,13.129999999999999,405.16                                
Barbados,lamb_goat,4.08,142.88000000000002                             
Barbados,fish,37.41,59.730000000000004                                 
Barbados,eggs,9.61,8.83                                                
Barbados,dairy,110.48,157.37                                           
Barbados,wheat,65.71000000000001,12.53                                 
Barbados,rice,15.66,20.04                                              
Barbados,soybeans,0.1,0.05                                             
Barbados,nuts,4.159999999999999,7.359999999999999                      
Lithuania,pork,45.67,161.65                                            
Lithuania,poultry,26.84,28.830000000000002                             
Lithuania,beef,4.49,138.55                                             
Lithuania,lamb_goat,0.24000000000000002,8.4                            
Lithuania,fish,42.39,67.67999999999999                                 
Lithuania,eggs,13.11,12.04                                             
Lithuania,dairy,295.46,420.85                                          
Lithuania,wheat,121.59,23.19                                           
Lithuania,rice,3.07,3.9299999999999997                                 
Lithuania,soybeans,0.02,0.01                                           
Lithuania,nuts,2.13,3.77                                               
Turkey,pork,0.01,0.04                                                  
Turkey,poultry,18.779999999999998,20.17                                
Turkey,beef,11.639999999999999,359.19                                  
Turkey,lamb_goat,4.68,163.89000000000001                               
Turkey,fish,5.58,8.91                                                  
Turkey,eggs,8.2,7.53                                                   
Turkey,dairy,193.94,276.25                                             
Turkey,wheat,169.96,32.41                                              
Turkey,rice,10.739999999999998,13.739999999999998                      
Turkey,soybeans,1.71,0.77                                              
Turkey,nuts,7.970000000000001,14.11                                    
Estonia,pork,29.68,105.05                                              
Estonia,poultry,21.110000000000003,22.68                               
Estonia,beef,7.1899999999999995,221.87                                 
Estonia,lamb_goat,0.44,15.41                                           
Estonia,fish,12.78,20.41                                               
Estonia,eggs,12.66,11.629999999999999                                  
Estonia,dairy,284.85,405.74                                            
Estonia,wheat,89.36,17.04                                              
Estonia,rice,2.56,3.2800000000000002                                   
Estonia,soybeans,0.04,0.02                                             
Estonia,nuts,4.29,7.59                                                 
Mexico,pork,15.229999999999999,53.91                                   
Mexico,poultry,30.12,32.349999999999994                                
Mexico,beef,15.33,473.05                                               
Mexico,lamb_goat,0.89,31.17                                            
Mexico,fish,7.56,12.07                                                 
Mexico,eggs,18.34,16.85                                                
Mexico,dairy,111.86999999999999,159.35000000000002                     
Mexico,wheat,35.21,6.71                                                
Mexico,rice,5.64,7.22                                                  
Mexico,soybeans,0.02,0.01                                              
Mexico,nuts,2.51,4.44                                                  
Costa Rica,pork,10.28,36.39                                            
Costa Rica,poultry,24.47,26.29                                         
Costa Rica,beef,15.229999999999999,469.96999999999997                  
Costa Rica,lamb_goat,0.02,0.7                                          
Costa Rica,fish,11.32,18.07                                            
Costa Rica,eggs,10.55,9.69                                             
Costa Rica,dairy,183.28,261.06                                         
Costa Rica,wheat,39.309999999999995,7.5                                
Costa Rica,rice,45.690000000000005,58.47                               
Costa Rica,soybeans,1.54,0.69                                          
Costa Rica,nuts,1.3800000000000001,2.44                                
Bolivia,pork,8.89,31.47                                                
Bolivia,poultry,34.309999999999995,36.86                               
Bolivia,beef,19.779999999999998,610.37                                 
Bolivia,lamb_goat,1.72,60.230000000000004                              
Bolivia,fish,2.18,3.48                                                 
Bolivia,eggs,5.18,4.76                                                 
Bolivia,dairy,46.04,65.58                                              
Bolivia,wheat,49.99,9.53                                               
Bolivia,rice,26.99,34.54                                               
Bolivia,soybeans,0.01,0                                                
Bolivia,nuts,9.16,16.21                                                
Ecuador,pork,14.44,51.11                                               
Ecuador,poultry,21.85,23.47                                            
Ecuador,beef,16.610000000000003,512.55                                 
Ecuador,lamb_goat,0.44,15.41                                           
Ecuador,fish,5.17,8.25                                                 
Ecuador,eggs,8.01,7.359999999999999                                    
Ecuador,dairy,139.6,198.85000000000002                                 
Ecuador,wheat,39.190000000000005,7.470000000000001                     
Ecuador,rice,45.07,57.68                                               
Ecuador,soybeans,0,0                                                   
Ecuador,nuts,0.98,1.73                                                 
Panama,pork,13.48,47.71                                                
Panama,poultry,30.810000000000002,33.1                                 
Panama,beef,20.4,629.5                                                 
Panama,lamb_goat,0.01,0.35                                             
Panama,fish,11.05,17.64                                                
Panama,eggs,4.53,4.159999999999999                                     
Panama,dairy,70.29,100.11999999999999                                  
Panama,wheat,38.96,7.430000000000001                                   
Panama,rice,66.42,85                                                   
Panama,soybeans,3.53,1.59                                              
Panama,nuts,1.05,1.86                                                  
Czech Republic,pork,41.17,145.72                                       
Czech Republic,poultry,19.09,20.51                                     
Czech Republic,beef,8.15,251.49                                        
Czech Republic,lamb_goat,0.33999999999999997,11.91                     
Czech Republic,fish,8.25,13.17                                         
Czech Republic,eggs,11.66,10.709999999999999                           
Czech Republic,dairy,195.2,278.04                                      
Czech Republic,wheat,92.66999999999999,17.67                           
Czech Republic,rice,4.79,6.13                                          
Czech Republic,soybeans,0.8200000000000001,0.37                        
Czech Republic,nuts,2.4699999999999998,4.37                            
Romania,pork,25.310000000000002,89.58                                  
Romania,poultry,15.38,16.52                                            
Romania,beef,4.78,147.5                                                
Romania,lamb_goat,3.4099999999999997,119.42                            
Romania,fish,6.07,9.69                                                 
Romania,eggs,12.94,11.89                                               
Romania,dairy,238.33,339.47999999999996                                
Romania,wheat,134.87,25.72                                             
Romania,rice,2.59,3.3099999999999996                                   
Romania,soybeans,0.01,0                                                
Romania,nuts,1.8,3.19                                                  
Colombia,pork,6.51,23.04                                               
Colombia,poultry,27.57,29.62                                           
Colombia,beef,16.36,504.84000000000003                                 
Colombia,lamb_goat,0.21000000000000002,7.35                            
Colombia,fish,6.01,9.6                                                 
Colombia,eggs,10.78,9.9                                                
Colombia,dairy,108.47,154.5                                            
Colombia,wheat,29.79,5.68                                              
Colombia,rice,28.02,35.86                                              
Colombia,soybeans,0.89,0.4                                             
Colombia,nuts,0.42000000000000004,0.74                                 
Maldives,pork,1.22,4.319999999999999                                   
Maldives,poultry,18.47,19.84                                           
Maldives,beef,9.44,291.3                                               
Maldives,lamb_goat,0.7,24.51                                           
Maldives,fish,179.70999999999998,286.94                                
Maldives,eggs,10.79,9.91                                               
Maldives,dairy,111.47,158.78                                           
Maldives,wheat,77.77,14.83                                             
Maldives,rice,50.730000000000004,64.92                                 
Maldives,soybeans,0.2,0.09                                             
