datestamp,Agriculture,Business services,Construction,Durable goods manufacturing,Education and Health,Finance,Government,Information,Leisure and hospitality,Manufacturing,Mining and Extraction,Nondurable goods manufacturing,Other,Self-employed,Transportation and Utilities,Wholesale and Retail Trade
2002-08-01,9.0,7.2,7.4,6.5,3.9,3.8,3.0,7.1,7.5,6.2,6.3,5.8,6.0,2.6,3.9,5.8
2002-09-01,6.3,7.8,7.0,6.2,3.2,3.3,2.6,6.3,7.9,6.1,7.9,6.1,4.8,2.5,4.2,5.9
2002-10-01,6.6,7.5,7.7,5.9,3.0,3.5,2.5,6.0,8.5,5.9,6.4,6.0,4.6,2.6,4.7,6.1
2002-11-01,11.1,8.2,8.5,6.7,2.8,3.7,2.3,6.5,8.9,6.3,5.4,5.6,4.9,2.8,4.2,6.2
2002-12-01,9.8,8.3,10.9,7.0,3.2,3.6,2.2,7.2,8.2,6.6,7.8,5.9,4.2,3.1,4.6,5.7
2003-01-01,13.2,8.9,14.0,7.8,3.2,3.6,2.8,6.7,9.3,7.2,9.0,6.1,5.3,3.0,6.3,6.7
2003-02-01,14.7,8.9,14.0,6.9,3.2,3.4,2.4,8.6,10.0,6.7,7.1,6.5,5.7,3.0,5.8,6.1
2003-03-01,12.9,9.1,11.8,6.7,2.9,4.0,2.6,7.4,8.9,6.8,8.2,7.0,6.1,2.7,5.9,5.9
2003-04-01,12.0,8.3,9.3,7.3,3.4,3.6,2.2,7.3,8.5,6.7,7.7,5.8,5.5,2.4,5.0,6.0
2003-05-01,10.2,8.4,8.4,6.9,3.5,3.6,2.4,6.9,7.9,6.5,7.5,5.9,5.7,2.6,4.9,6.2
2003-06-01,6.9,8.5,7.9,7.3,4.4,4.0,3.5,6.4,8.6,7.0,6.8,6.6,5.9,2.7,5.5,6.9
2003-07-01,8.2,8.2,7.5,7.4,4.0,3.1,3.8,5.9,8.4,6.9,7.9,6.0,6.6,2.5,5.4,6.6
2003-08-01,10.7,7.2,7.1,6.9,4.3,3.7,3.7,6.1,9.0,6.7,3.8,6.4,6.1,2.7,4.8,5.6
2003-09-01,6.2,8.0,7.6,7.3,3.7,3.3,2.7,7.0,8.8,6.8,4.6,5.9,5.5,2.6,4.7,5.9
2003-10-01,8.5,8.1,7.4,6.3,3.6,3.3,2.4,5.4,8.3,6.0,5.6,5.4,6.1,3.1,4.8,5.7
2003-11-01,10.3,7.7,7.8,6.2,3.8,3.3,2.7,7.6,9.0,5.9,5.9,5.3,5.8,2.8,5.1,5.4
2003-12-01,10.9,7.6,9.3,5.9,3.5,3.0,2.5,6.5,8.2,5.9,5.6,5.8,4.5,2.8,5.0,5.0
2004-01-01,15.1,8.7,11.3,6.4,3.7,4.3,2.5,7.0,10.0,6.4,5.8,6.3,5.3,2.8,4.6,6.5
2004-02-01,14.2,7.7,11.6,6.5,3.4,3.8,2.4,5.8,8.9,6.3,5.0,6.0,5.9,2.5,5.5,6.5
2004-03-01,12.7,7.9,11.3,6.4,3.2,3.7,2.6,6.3,9.0,6.3,4.4,6.1,5.9,2.5,5.4,6.8
2004-04-01,8.3,6.0,9.5,5.6,3.3,3.4,2.1,5.0,7.9,5.8,6.4,6.2,5.6,2.3,4.5,6.1
2004-05-01,7.4,6.5,7.4,5.2,3.2,3.3,2.3,5.7,8.1,5.6,4.3,6.2,5.1,2.7,4.4,5.8
2004-06-01,7.6,6.5,7.0,5.1,4.2,3.6,2.8,5.0,9.6,5.6,5.0,6.3,5.4,2.8,4.3,5.8
2004-07-01,10.0,6.2,6.4,6.2,4.0,3.3,3.7,5.2,7.8,6.0,5.4,5.7,5.6,2.6,4.3,5.5
2004-08-01,7.0,6.7,6.0,5.0,3.7,3.4,3.3,5.7,8.4,4.9,1.9,4.8,5.6,2.9,4.4,5.1
2004-09-01,6.4,5.9,6.8,4.8,3.3,4.0,2.7,5.4,7.5,5.0,1.5,5.4,4.9,3.3,3.9,5.5
2004-10-01,7.7,6.2,6.9,5.0,2.9,3.8,2.7,5.6,7.3,5.3,2.6,5.9,4.8,2.7,4.0,5.4
2004-11-01,10.5,6.8,7.4,5.2,3.2,3.1,2.4,5.6,7.9,5.4,3.3,5.7,4.8,3.2,4.0,5.0
2004-12-01,14.0,6.9,9.5,4.9,3.1,3.1,2.4,5.7,7.4,5.1,2.5,5.5,4.3,3.2,3.8,5.0
2005-01-01,13.2,7.6,11.8,5.1,3.4,2.7,2.6,5.4,8.7,5.3,4.9,5.7,4.7,3.2,5.0,6.3
2005-02-01,9.9,7.2,12.3,5.1,3.4,3.2,2.3,6.5,8.8,5.3,4.0,5.8,5.3,3.4,4.4,6.2
2005-03-01,11.8,6.5,10.3,4.8,3.4,2.7,2.2,6.0,8.3,5.3,5.2,6.1,5.0,2.9,4.8,5.6
2005-04-01,6.9,5.7,7.4,4.3,3.3,2.7,2.3,5.9,7.7,4.8,2.9,5.6,4.9,2.4,4.7,5.4
2005-05-01,5.3,5.9,6.1,4.1,3.6,3.1,2.1,4.7,7.7,4.5,2.4,5.2,5.0,2.7,4.1,5.4
2005-06-01,5.2,5.8,5.7,4.3,3.6,3.3,3.2,5.0,7.6,4.4,4.0,4.6,4.6,2.4,4.5,5.7
2005-07-01,4.7,6.3,5.2,5.5,3.5,3.3,3.3,4.2,7.4,5.3,3.7,4.9,4.2,2.5,3.9,5.6
2005-08-01,7.1,5.7,5.7,4.5,3.5,3.2,3.2,4.6,6.8,4.7,2.0,4.9,4.8,2.3,3.3,5.3
2005-09-01,9.5,6.7,5.7,4.2,3.5,2.7,2.7,4.9,7.3,4.7,2.0,5.5,4.9,2.6,3.7,4.9
2005-10-01,6.7,5.8,5.3,4.6,3.4,2.7,2.4,4.8,6.8,4.8,0.3,5.3,5.0,2.3,4.4,4.9
2005-11-01,9.6,5.5,5.7,4.6,3.6,2.8,2.4,5.1,8.1,4.9,2.9,5.5,4.9,3.0,3.5,4.7
2005-12-01,11.1,6.1,8.2,4.2,2.8,2.1,1.9,3.7,7.9,4.5,3.5,5.0,4.3,3.1,3.6,4.5
2006-01-01,11.5,6.5,9.0,4.1,3.2,2.4,2.2,3.3,8.1,4.6,3.9,5.4,4.9,3.2,5.0,5.7
2006-02-01,11.8,6.5,8.6,4.4,2.8,2.8,2.3,3.7,9.1,4.9,3.8,5.7,4.4,3.1,4.6,5.4
2006-03-01,9.8,6.3,8.5,3.7,3.0,3.1,2.2,3.5,8.0,4.1,2.1,4.8,4.6,2.8,4.7,4.9
2006-04-01,6.2,4.9,6.9,3.9,3.0,3.1,2.0,4.2,7.6,4.5,2.5,5.6,4.1,3.1,4.8,4.6
2006-05-01,6.0,5.3,6.6,3.5,2.9,3.0,2.1,4.8,7.0,4.1,2.8,5.2,4.2,2.3,4.0,4.8
2006-06-01,2.4,5.7,5.6,3.6,3.3,3.1,2.8,3.4,7.4,3.8,4.3,4.2,4.3,2.2,3.9,5.1
2006-07-01,3.6,5.5,6.1,4.2,3.5,3.4,3.2,3.0,6.8,4.4,3.5,4.9,4.7,2.6,4.2,5.1
2006-08-01,5.3,5.1,5.9,4.1,3.2,2.7,2.9,3.9,6.9,4.1,4.3,4.1,5.3,2.7,3.7,4.7
2006-09-01,5.9,5.6,5.6,3.5,3.0,2.4,1.9,4.9,6.9,3.8,2.1,4.4,5.0,2.7,3.1,4.9
2006-10-01,5.8,5.6,4.5,3.5,2.8,2.1,2.0,3.4,6.6,3.7,2.2,4.2,4.4,2.5,3.6,4.7
2006-11-01,9.6,4.9,6.0,4.2,2.8,2.3,1.9,3.9,7.1,4.3,2.9,4.6,5.0,2.3,3.1,4.8
2006-12-01,10.4,5.9,6.9,3.8,2.6,2.3,1.9,2.9,5.9,4.0,3.4,4.6,5.2,2.6,3.2,4.5
2007-01-01,10.0,6.5,8.9,5.1,2.9,2.4,2.2,4.0,7.8,4.6,4.7,3.9,4.7,3.5,4.2,5.5
2007-02-01,9.6,6.0,10.5,4.6,2.5,3.1,1.9,4.0,7.4,4.7,4.5,4.8,4.3,2.8,4.2,5.1
2007-03-01,9.7,5.7,9.0,4.3,2.5,2.6,1.9,3.2,7.0,4.5,3.2,4.8,3.7,2.8,4.3,4.4
2007-04-01,5.7,5.0,8.6,4.4,2.9,2.4,1.9,2.4,6.9,4.6,2.3,4.8,3.6,2.2,3.3,4.2
2007-05-01,5.1,5.4,6.9,4.1,3.3,2.9,1.9,3.3,6.8,3.9,3.0,3.6,3.9,2.5,3.8,3.9
2007-06-01,4.5,5.2,5.9,3.9,3.4,3.1,2.7,3.4,7.2,4.0,4.3,4.1,4.0,2.3,4.1,4.6
2007-07-01,3.1,5.2,5.9,3.6,3.5,3.1,3.3,3.4,7.3,3.7,4.3,4.0,3.8,2.9,5.1,5.2
2007-08-01,4.7,4.9,5.3,3.3,3.4,3.7,3.2,4.1,7.1,3.6,4.6,4.1,3.8,2.9,3.4,5.1
2007-09-01,4.3,4.7,5.8,3.9,3.2,3.3,2.4,3.7,7.4,4.1,3.2,4.3,4.2,2.8,3.7,5.1
2007-10-01,4.0,4.8,6.1,4.1,2.7,3.2,2.3,3.7,7.5,4.3,1.3,4.8,3.0,3.1,3.6,4.4
2007-11-01,6.6,4.8,6.2,4.1,2.7,2.7,2.2,4.0,8.1,4.5,2.3,5.3,4.1,3.2,3.9,4.3
2007-12-01,7.5,5.7,9.4,4.3,2.6,3.2,2.1,3.7,7.9,4.6,3.4,5.1,3.9,3.2,3.4,4.8
2008-01-01,9.5,6.4,11.0,4.4,2.9,3.0,2.2,5.1,9.4,5.1,4.0,6.4,4.4,3.3,4.4,5.4
2008-02-01,10.9,6.2,11.4,4.6,2.9,3.4,1.7,5.8,8.5,5.0,2.2,5.7,5.1,3.2,4.6,4.9
2008-03-01,13.2,6.2,12.0,4.8,3.1,3.4,1.9,4.8,7.6,5.0,3.7,5.4,4.6,3.3,4.3,4.9
2008-04-01,8.6,5.3,11.1,4.8,2.8,3.4,1.7,4.4,6.9,4.8,3.6,5.0,4.0,3.2,4.0,4.5
2008-05-01,7.4,5.9,8.6,5.4,3.2,3.7,2.1,5.0,8.4,5.3,3.4,5.3,4.4,3.4,4.3,5.2
2008-06-01,6.1,6.2,8.2,5.1,3.4,3.4,3.0,4.7,8.9,5.2,3.3,5.5,5.0,3.3,5.1,5.7
2008-07-01,8.5,6.1,8.0,5.7,3.9,3.6,3.6,4.1,8.8,5.5,1.5,5.0,5.2,3.1,5.7,6.5
2008-08-01,7.6,6.9,8.2,5.9,4.3,4.2,3.3,4.2,8.7,5.7,1.9,5.4,6.3,3.5,5.2,6.6
2008-09-01,5.8,6.9,9.9,6.5,4.1,4.0,2.6,5.0,8.2,6.0,2.8,5.1,5.8,3.9,5.8,6.2
2008-10-01,7.1,7.5,10.8,5.9,3.9,4.5,2.5,5.0,8.9,6.2,1.7,6.7,5.3,3.9,5.7,6.3
2008-11-01,9.5,7.0,12.7,6.8,3.6,5.2,2.4,5.2,9.9,7.0,3.7,7.4,7.0,4.1,5.8,6.7
2008-12-01,17.0,8.1,15.3,8.0,3.8,5.6,2.3,6.9,9.5,8.3,5.2,8.8,6.1,5.5,6.7,7.2
2009-01-01,18.7,10.4,18.2,11.2,3.8,6.0,3.0,7.4,11.5,10.9,7.0,10.3,7.1,6.5,8.4,8.7
2009-02-01,18.8,10.8,21.4,11.9,4.1,6.7,2.6,7.1,11.4,11.5,7.6,10.8,7.3,5.7,9.1,8.9
2009-03-01,19.0,11.4,21.1,13.1,4.5,6.8,2.8,7.8,11.6,12.2,12.6,10.6,6.0,5.9,9.0,9.0
2009-04-01,13.5,10.4,18.7,12.8,4.6,6.0,2.6,10.1,10.2,12.4,16.1,11.8,6.4,4.6,9.0,9.0
2009-05-01,10.0,10.9,19.2,13.2,4.9,5.7,3.1,9.5,11.9,12.6,13.3,11.5,7.5,5.0,8.5,9.0
2009-06-01,12.3,11.3,17.4,13.9,6.1,5.5,4.4,11.1,12.1,12.6,13.6,10.5,8.4,4.4,8.4,9.1
2009-07-01,12.1,10.9,18.2,13.7,6.1,6.1,5.1,11.5,11.2,12.4,12.6,10.1,7.4,5.2,8.8,9.0
2009-08-01,13.1,11.0,16.5,13.0,6.0,6.0,5.1,10.7,12.0,11.8,11.8,9.7,8.2,5.3,9.8,8.8
2009-09-01,11.1,11.3,17.1,13.1,6.0,7.1,4.2,11.2,11.4,11.9,10.7,10.0,7.1,5.9,9.5,9.0
2009-10-01,11.8,10.3,18.7,12.9,6.0,7.0,3.5,8.2,12.4,12.2,10.8,10.9,8.5,5.9,8.6,9.6
2009-11-01,12.6,10.6,19.4,12.7,5.5,6.7,3.4,7.6,11.9,12.5,12.0,12.0,8.0,5.7,8.5,9.2
2009-12-01,19.7,10.3,22.7,13.3,5.6,7.2,3.6,8.5,12.6,11.9,11.8,9.5,8.2,5.9,9.0,9.1
2010-01-01,21.3,11.1,24.7,14.1,5.5,6.6,4.3,10.0,14.2,13.0,9.1,11.1,10.0,7.2,11.3,10.5
2010-02-01,18.8,12.0,27.1,13.6,5.6,7.5,4.0,10.0,12.7,12.1,10.7,9.7,9.9,6.5,10.5,10.0
