"STATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USC00379423","2005-02-17",,,"55","27",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-18",,,"40","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-19",,,"33","11",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-20",,,"29","13",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-21",,,"33","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-22",,,"31","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-23",,,"36","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-24",,,"38","15",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-25",,,"29","18",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-26",,,"31","6",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-27",,,"36","6",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-02-28",,,"35","14",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-01",,,"35","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-02",,,"32","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-03",,,"35","18",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-04",,,"29","11",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-05",,,"34","14",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-06",,,"42","20",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-07",,,"43","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-08",,,"49","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-09",,,"44","8",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-10",,,"24","10",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-11",,,"31","12",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-12",,,"32","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-13",,,"34","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-14",,,"39","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-15",,,"42","27",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-16",,,"45","28",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-17",,,"50","21",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-18",,,"46","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-19",,,"46","27",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-20",,,"48","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-21",,,"48","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-22",,,"43","24",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-23",,,"55","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-24",,,"44","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-25",,,"41","26",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-26",,,"49","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-27",,,"49","23",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-28",,,"51","31",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-29",,,"42","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-30",,,"50","31",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-03-31",,,"61","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-01",,,"56","39",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-02",,,"59","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-03",,,"57","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-04",,,"52","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-05",,,"53","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-06",,,"65","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-07",,,"63","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-08",,,"73","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-09",,,"73","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-10",,,"73","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-11",,,"72","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-12",,,"54","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-13",,,"52","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-14",,,"52","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-15",,,"56","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-16",,,"53","26",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-17",,,"60","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-18",,,"76","39",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-19",,,"73","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-20",,,"75","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-21",,,"87","42",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-22",,,"61","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-23",,,"62","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-24",,,"63","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-25",,,"60","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-26",,,"51","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-27",,,"68","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-28",,,"56","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-29",,,"63","39",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-04-30",,,"65","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-01",,,"56","48",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-02",,,"59","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-03",,,"63","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-04",,,"58","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-05",,,"57","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-06",,,"63","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-07",,,"56","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-08",,,"56","41",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-09",,,"52","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-10",,,"56","48",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-11",,,"72","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-12",,,"73","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-13",,,"62","31",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-14",,,"64","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-15",,,"63","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-16",,,"66","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-17",,,"65","45",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-18",,,"69","47",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-19",,,"61","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-20",,,"65","42",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-21",,,"66","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-22",,,"66","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-23",,,"57","45",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-24",,,"55","45",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-25",,,"47","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-26",,,"48","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-27",,,"55","47",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-28",,,"69","48",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-29",,,"78","53",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-30",,,"74","48",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-05-31",,,"77","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-01",,,"63","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-02",,,"71","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-03",,,"75","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-04",,,"79","56",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-05",,,"85","56",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-06",,,"91","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-07",,,"77","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-08",,,"88","56",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-09",,,"90","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-10",,,"88","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-11",,,"81","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-12",,,"88","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-13",,,"89","71",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-14",,,"91","71",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-15",,,"89","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-16",,,"55","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-17",,,"68","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-18",,,"74","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-19",,,"74","51",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-20",,,"65","45",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-21",,,"77","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-22",,,"84","58",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-23",,,"74","47",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-24",,,"76","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-25",,,"84","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-26",,,"92","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-27",,,"95","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-28",,,"88","69",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-29",,,"78","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-06-30",,,"87","69",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-01",,,"77","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-02",,,"78","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-03",,,"81","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-04",,,"80","53",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-05",,,"82","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-06",,,"85","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-07",,,"74","59",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-08",,,"74","58",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-09",,,"63","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-10",,,"70","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-11",,,"89","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-12",,,"91","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-13",,,"91","60",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-14",,,"77","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-15",,,"84","69",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-16",,,"87","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-17",,,"87","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-18",,,"81","70",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-19",,,"85","70",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-21",,,"87","64",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-22",,,"87","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-23",,,"91","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-24",,,"83","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-25",,,"83","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-26",,,"82","64",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-27",,,"93","74",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-28",,,"93","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-29",,,"76","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-07-30",,,"82","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-01",,,"73","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-02",,,"83","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-03",,,"89","64",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-04",,,"91","64",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-05",,,"89","70",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-06",,,"96","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-07",,,"88","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-08",,,"85","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-09",,,"91","71",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-10",,,"87","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-11",,,"87","66",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-12",,,"91","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-13",,,"89","74",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-14",,,"96","73",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-15",,,"94","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-16",,,"68","59",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-17",,,"78","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-18",,,"85","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-19",,,"78","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-20",,,"79","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-21",,,"85","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-22",,,"88","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-23",,,"84","56",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-25",,,"76","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-26",,,"80","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-27",,,"84","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-28",,,"84","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-29",,,"82","71",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-30",,,"83","70",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-08-31",,,"75","71",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-01",,,"79","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-02",,,"83","58",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-03",,,"85","58",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-04",,,"80","56",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-05",,,"81","53",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-06",,,"77","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-07",,,"78","52",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-08",,,"82","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-09",,,"84","60",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-10",,,"74","51",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-11",,,"67","59",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-12",,,"75","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-13",,,"89","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-14",,,"86","65",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-15",,,"87","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-16",,,"73","67",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-17",,,"69","62",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-18",,,"74","61",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-19",,,"76","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-20",,,"82","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-21",,,"76","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-22",,,"79","53",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-23",,,"83","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-24",,,"83","46",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-25",,,"69","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-26",,,"67","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-27",,,"74","63",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-28",,,"71","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-29",,,"72","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-09-30",,,"75","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-01",,,"63","39",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-02",,,"71","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-03",,,"80","47",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-04",,,"76","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-05",,,"77","54",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-06",,,"79","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-07",,,"79","64",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-08",,,"79","68",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-09",,,"73","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-10",,,"54","49",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-11",,,"55","53",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-12",,,"57","51",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-13",,,"55","51",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-14",,,"58","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-15",,,"60","57",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-16",,,"61","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-17",,,"58","50",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-18",,,"61","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-19",,,"67","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-20",,,"67","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-21",,,"57","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-22",,,"57","33",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-23",,,"49","33",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-24",,,"49","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-25",,,"50","42",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-26",,,"51","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-27",,,"50","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-28",,,"48","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-29",,,"44","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-30",,,"48","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-10-31",,,"67","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-01",,,"72","39",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-02",,,"71","42",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-03",,,"59","32",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-04",,,"63","43",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-05",,,"67","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-06",,,"75","45",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-07",,,"61","48",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-08",,,"61","36",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-09",,,"59","31",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-10",,,"60","38",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-11",,,"52","28",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-12",,,"44","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-13",,,"54","30",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-14",,,"63","44",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-15",,,"65","34",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-16",,,"60","40",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-17",,,"67","41",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-18",,,"48","27",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-19",,,"41","20",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-20",,,"45","25",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-21",,,"57","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-22",,,"58","34",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-23",,,"45","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-24",,,"35","22",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-25",,,"43","19",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-26",,,"34","15",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-27",,,"37","19",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-28",,,"43","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-29",,,"56","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-11-30",,,"60","55",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-12-01",,,"63","35",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-12-02",,,"47","37",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-12-03",,,"43","29",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-12-04",,,"36","26",,,,,,,,,,,,,,,,,,,,
"USC00379423","2005-12-05",,,"29","16",,,,,,,,,,,,,,,,,,,,
