Recency,Frequency,MonetaryValue
274,3,196.8
292,9,150.84
100,4,45.34
31,7,99.33
57,36,626.02
15,31,479.4
65,3,122.1
15,76,1147.5200000000004
213,3,72.6
79,10,191.64
25,3,59.0
254,4,62.39999999999999
73,3,62.1
192,2,32.4
13,12,152.28
25,11,94.1
83,3,21.44
15,72,627.5300000000002
193,2,41.6
267,1,29.700000000000006
130,3,136.79999999999998
2,18,75.79
4,58,1763.4599999999994
180,3,19.68
12,183,5180.059999999999
158,10,216.8
5,5,136.0
296,1,12.6
5,329,10490.390000000003
9,30,661.3199999999998
29,5,105.42
71,5,70.32
276,28,1185.84
130,2,152.64
71,1,9.36
33,82,1281.7600000000002
2,106,4994.410000000002
235,2,25.5
2,68,1424.9599999999996
4,4,243.96
134,1,76.5
86,13,357.08
60,10,153.73
32,31,297.79
1,48,2387.2400000000007
12,22,503.76
139,5,77.74
22,8,121.56
20,15,126.64
239,1,30.6
270,10,51.31999999999999
241,9,157.83
90,50,831.0999999999998
5,30,384.42999999999984
78,4,68.7
24,9,213.5
262,2,62.0
274,2,39.7
86,18,344.54
197,1,3096.0
57,26,556.96
11,129,681.6899999999998
23,7,114.02
17,39,1109.83
109,7,78.56
85,30,480.93000000000006
20,7,91.14
333,1,23.6
92,1,45.0
27,6,41.98
100,1,118.8
30,85,943.18
15,14,309.8
296,11,184.6
6,3,37.44
34,6,127.4
50,10,169.19999999999996
95,14,226.27
9,31,360.2000000000001
23,1,34.8
314,1,27.0
123,19,397.61
47,6,195.6
284,6,38.65
19,12,122.06000000000002
37,19,190.66000000000003
253,1,23.4
27,8,32.6
50,8,46.94000000000001
5,3,14.6
17,25,244.97000000000003
47,12,86.25000000000001
65,4,67.35
27,52,1231.3599999999994
46,2,20.04
8,23,823.3000000000003
15,29,263.4199999999999
40,21,383.69999999999993
338,9,69.6
19,6,64.2
96,18,233.56000000000003
62,7,40.45
136,1,9.0
12,21,336.48
11,39,604.78
4,23,2043.44
20,7,133.14999999999998
10,11,158.55999999999997
59,27,221.77
31,64,1076.39
94,6,95.84
96,8,164.14999999999995
20,28,145.27
57,18,294.80000000000007
268,1,92.5
220,4,19.69
241,13,133.72
201,2,115.8
61,24,578.0700000000003
4,7,1288.98
274,1,8.4
82,1,179.0
226,2,36.75
5,122,597.53
13,26,225.14
75,13,131.76000000000002
213,11,185.15
25,10,233.62000000000003
24,8,165.10000000000005
262,6,109.83
97,12,89.69
113,1,20.8
204,11,142.89
93,4,17.9
51,2,61.3
19,38,905.29
52,4,69.0
125,4,72.44
94,5,310.86
157,8,223.44
10,1,49.8
24,9,119.79
62,21,95.31
62,1,26.0
286,4,441.6
264,1,6.959999999999999
2,319,1467.1100000000006
54,14,263.16
12,44,944.27
3,43,930.59
18,101,802.3
2,70,1112.7200000000003
38,22,64.17
90,4,60.45
114,2,14.05
64,10,160.6
117,1,25.0
41,9,82.53999999999998
123,13,130.21
19,9,309.2000000000001
186,1,17.0
24,48,697.81
156,4,36.0
39,5,86.9
190,9,151.7
138,1,15.0
8,13,525.18
170,1,19.8
104,16,138.05
156,1,63.75
352,4,57.21
5,12,264.49
23,9,143.56
8,23,365.0
29,14,243.12000000000003
5,10,127.68
23,13,242.56000000000003
2,11,133.70999999999998
38,18,1141.86
67,20,362.76
38,1,42.96
6,84,1906.0000000000007
79,16,259.0
87,3,130.84
18,8,89.49000000000002
4,4,270.5
37,14,1218.66
82,3,268.0
39,14,343.4000000000001
317,4,356.99999999999994
32,2,110.28
93,10,251.0
15,5,80.2
83,57,687.3200000000003
78,7,105.68
158,6,166.39999999999995
201,11,192.0
46,26,2007.96
261,10,248.75
178,5,94.3
68,13,379.3
288,6,102.25
71,4,168.6
65,1,10.2
11,4,41.68
17,5,124.4
67,4,67.44
61,7,111.06
72,8,108.54000000000002
123,7,125.0
81,9,226.71
258,20,115.99
269,6,64.74000000000001
64,2,42.60000000000001
10,33,690.9
18,9,145.31
72,1,17.4
34,28,544.64
257,8,211.35
90,4,89.51
61,31,698.2499999999999
89,9,136.1
100,13,236.85
27,15,83.59
32,38,800.7900000000003
281,4,62.7
31,25,896.9500000000003
330,5,110.6
132,9,210.77
12,11,167.97000000000003
2,33,665.8900000000001
186,4,41.76
30,10,342.54
73,10,362.8
193,7,103.43
128,8,123.51
18,1,15.0
213,2,41.6
205,6,113.99
2,98,5686.879999999999
75,5,125.84
108,5,94.65
134,7,168.45
44,2,59.40000000000001
5,10,222.1
12,58,1296.3499999999995
64,2,14.4
171,1,10.5
41,19,389.92
65,30,670.34
109,16,245.07
1,29,676.5999999999998
20,6,148.04
11,14,40.93
11,16,291.16
19,8,76.56
68,9,228.42
6,22,759.0000000000001
2,2,28.2
15,31,666.36
256,16,83.85
92,1,10.2
24,9,175.69
17,30,491.29
24,2,41.65000000000001
27,14,411.05999999999983
27,89,570.73
260,2,590.0
166,4,111.58
25,3,73.8
18,13,314.0900000000001
8,78,1738.2000000000005
30,1,17.0
39,4,197.7
253,2,37.8
59,4,84.9
185,5,78.39999999999998
11,23,242.27
2,54,1044.42
100,3,49.5
2,65,693.9600000000003
61,6,142.29000000000005
237,11,46.10000000000001
218,14,219.21
179,12,214.5
58,9,152.32
201,3,72.3
46,22,333.21
233,3,52.98
66,3,59.7
242,3,63.6
234,4,73.3
79,14,217.46
58,9,149.2
18,82,1595.5799999999995
106,4,142.07999999999996
52,15,192.63
312,3,70.80000000000003
8,7,376.2
11,3,45.0
283,3,54.3
18,8,286.4500000000001
24,10,189.5
17,2,16.8
72,1,10.5
65,6,72.12
317,1,20.4
4,33,492.86
244,3,27.630000000000006
9,8,121.22
2,21,329.31999999999994
261,6,89.3
127,2,37.65
73,7,103.2
22,7,370.66
60,31,450.99
86,7,121.4
79,1,11.9
2,98,263.2799999999999
34,29,893.3699999999997
41,3,53.78
15,1,23.9
34,47,538.8299999999998
79,3,51.05
206,3,79.85
34,10,29.61
183,16,63.29
3,63,1242.0499999999995
2,40,723.0700000000003
44,6,283.65
86,8,161.39999999999995
40,21,66.33000000000001
13,15,84.90000000000002
97,26,127.1
65,9,173.60000000000005
320,1,17.85
67,30,1059.26
74,29,764.9599999999997
29,9,148.08
6,43,181.15
8,7,45.1
82,12,249.4
85,10,222.28
145,9,644.7399999999999
20,11,78.23
41,37,201.26
174,6,19.45
18,12,55.1
244,6,55.91
13,86,511.29999999999984
206,7,182.53
51,6,73.75
24,13,194.5
11,25,1211.14
26,17,439.85
310,1,2.95
156,10,151.9
307,9,43.2
64,3,357.6
16,35,454.98
15,3,67.35
12,19,373.43
65,13,324.4
206,3,58.97
109,29,507.47
53,5,56.51
6,35,147.43
48,4,15.65
2,45,1139.8199999999995
313,6,48.57
46,18,134.25
65,6,101.1
27,8,62.19
30,5,25.32
41,27,179.72000000000003
13,56,284.67
90,14,234.8
25,41,327.6799999999999
319,6,103.8
41,13,136.47
174,4,38.26
117,2,32.4
31,18,183.05
253,3,45.2
60,18,298.43000000000006
24,16,2480.76
6,17,403.99
207,1,100.0
25,25,363.81
34,33,352.33
68,15,243.23
37,13,185.0
53,29,256.25
16,3,38.1
75,10,270.78
216,9,51.07
32,8,152.7
17,33,639.34
121,1,19.9
10,13,240.56
257,1,15.3
17,26,461.92
46,9,170.68
44,27,442.9399999999998
115,12,190.16
165,7,62.11999999999999
11,2,22.8
10,12,244.46
206,18,268.33
86,8,134.84
180,1,5.04
61,2,12.55
150,19,53.94000000000001
3,93,1320.5700000000004
51,3,60.45
76,3,59.94
19,14,110.92000000000002
152,9,167.04000000000005
152,2,11.64
2,30,983.16
18,12,177.88
188,2,42.5
286,8,14.8
4,8,754.27
183,1,8.5
64,2,358.0
60,2,32.7
25,8,324.9000000000001
4,115,12768.029999999995
32,14,305.27
39,4,48.32
156,3,63.6
27,48,495.38
319,1,99.5
6,18,320.97
8,3,99.36
303,4,41.10000000000001
268,5,110.45
272,17,88.43
4,62,1458.9300000000005
32,2,23.28
219,4,88.19
247,1,15.0
282,24,198.25000000000003
270,5,25.85
33,16,204.66
247,3,73.1
16,15,278.09000000000003
117,8,118.1
37,6,127.95
132,16,437.44000000000005
218,1,19.75
50,14,215.95
39,12,349.94
29,7,103.85
37,11,187.7
136,13,288.47
220,12,215.52
29,4,71.4
25,44,720.4899999999999
6,28,84.36000000000001
201,8,46.45
241,3,30.48
72,8,153.21
17,59,569.5099999999999
3,7,275.88
96,18,301.48
163,7,111.71999999999998
96,7,215.15
54,8,467.07000000000005
289,2,169.2
156,16,204.58
288,4,63.9
318,3,45.3
4,68,520.7699999999999
3,23,831.33
39,17,423.65
72,8,282.44
55,8,30.04
51,11,162.09
219,1,30.0
64,2,281.52
71,27,154.42999999999995
26,72,2940.199999999999
3,25,729.2600000000001
65,18,331.9
34,35,212.15
82,4,62.35
9,32,4401.259999999998
104,1,27.25
8,12,62.31
251,6,37.83000000000001
13,26,227.92000000000007
219,2,55.8
76,5,13.89
5,8,85.26
128,3,648.0
67,2,38.4
3,75,8167.579999999999
117,7,136.3
310,8,151.8
67,2,30.3
139,14,1114.98
256,3,57.7
31,21,374.92
53,4,303.4000000000001
6,12,339.7
302,8,241.8
145,13,77.69
41,23,93.59000000000002
19,12,341.55
242,8,216.5
177,1,25.5
58,17,76.18
23,1,10.2
17,18,367.91
20,1,19.8
160,6,97.7
26,9,160.18
212,2,8.5
6,30,106.15000000000002
59,41,664.89
12,5,111.1
25,14,242.45
298,1,85.0
52,25,401.78
130,19,308.63
96,17,366.54
58,4,139.39999999999998
9,18,1367.8900000000006
169,3,112.8
58,3,50.37000000000001
327,8,50.09
2,18,294.94
19,22,390.55
248,4,60.18
59,7,121.82
75,1,24.9
32,11,180.56
39,5,108.05
124,63,674.3799999999998
3,28,563.3299999999998
23,54,997.16
120,2,47.7
359,4,227.65
54,27,442.64
64,3,58.6
55,9,313.42
22,30,708.8299999999998
26,31,2785.21
3,17,284.74
11,28,527.69
8,12,171.50000000000003
201,3,64.7
72,3,39.7
205,5,78.96000000000002
120,11,160.51
93,5,133.7
2,14,246.54
65,5,105.4
298,5,84.80000000000003
24,4,65.4
29,23,539.74
51,5,74.9
326,2,29.85
275,3,78.9
193,7,121.22
73,27,496.62000000000006
38,3,50.4
80,26,491.82
58,31,473.54
12,3,67.86
50,3,17.04
50,4,106.3
352,2,51.75
54,6,98.42000000000002
2,23,337.24000000000007
122,10,142.47
24,1,20.4
75,3,47.2
11,6,91.32
170,2,433.7
58,2,30.6
96,16,280.90000000000003
110,3,77.1
264,10,219.25
180,7,112.54
170,2,50.39999999999999
36,3,21.94
24,13,149.91
18,7,141.54000000000005
22,6,547.2
202,2,131.39999999999998
66,1,19.8
361,1,46.8
3,30,454.94000000000005
12,3,55.08
177,7,115.38
218,32,722.0599999999997
8,3,795.0
2,9,176.5
155,9,72.98000000000002
6,32,266.48
80,19,142.96000000000004
22,2,24.660000000000004
246,1,15.3
309,3,45.2
146,1,45.0
8,129,1970.97
19,26,467.36
202,3,53.9
288,5,177.2
50,3,39.96
32,63,433.75000000000017
46,3,63.32000000000001
74,15,227.0
61,4,91.66
40,15,325.35
30,23,826.94
326,1,11.8
5,68,1406.42
18,3,58.13
20,42,661.7399999999999
66,11,316.6
214,3,54.55
13,21,195.13
31,1,20.0
43,14,541.28
4,26,467.03999999999985
57,14,217.43
11,27,588.9800000000001
212,3,60.0
46,8,496.2000000000001
135,5,70.28
44,37,1170.75
10,22,697.3600000000001
116,6,196.32
199,11,199.11
278,3,104.4
111,6,82.38
78,4,28.24
53,4,189.42
47,8,204.85
17,7,119.06
156,8,218.85
226,6,64.86
8,6,110.5
122,4,66.15
61,1,10.2
64,1,25.5
19,37,297.68000000000006
8,41,2504.6800000000007
17,26,484.42
23,23,66.69
29,15,275.12
285,8,137.0
365,4,15.75
79,14,237.70000000000005
34,3,102.6
62,40,696.3
267,4,11.8
27,38,118.19000000000004
9,3,113.1
306,21,95.47
17,97,1048.92
32,12,184.73
1,32,2688.9500000000007
20,11,38.99999999999999
66,1,9.96
107,2,137.6
2,205,1618.4600000000007
24,52,1356.9399999999996
267,1,23.4
5,43,1623.2999999999995
10,18,1140.2200000000005
30,18,218.71
267,2,53.25
64,8,73.9
321,5,67.80000000000001
4,70,296.92999999999995
33,3,30.94
5,12,222.12
130,8,21.79
79,11,111.27
102,9,300.4
125,3,46.55
303,16,98.90000000000002
365,5,32.6
5,21,153.3
3,102,925.34
3,16,56.50999999999999
11,141,11812.270000000002
57,4,79.45
8,34,634.5
13,16,91.34999999999998
5,1055,13300.099999999993
37,6,18.26
17,55,701.93
138,6,41.95
74,11,2191.94
6,16,251.6
155,4,93.6
240,13,224.73
52,24,498.16
31,4,85.98
73,3,55.2
4,29,1367.9
23,30,537.9000000000002
4,6,106.8
274,2,53.7
20,13,245.32
144,1,30.0
4,32,631.12
85,2,118.08
11,29,443.07000000000016
11,2,29.4
123,6,92.34
61,12,184.22
2,11,251.00000000000003
320,14,99.25
3,41,757.98
130,8,187.92
2,19,1035.24
2,12,327.29
47,5,66.24
4,13,164.54999999999995
3,4,144.60000000000005
47,3,1128.6
9,48,823.6199999999999
286,1,136.0
234,1,127.5
221,3,50.39999999999999
36,8,163.6
76,10,114.18
240,11,214.7
267,2,35.7
286,3,18.97
41,10,115.98
20,223,837.3899999999996
216,12,70.44
174,4,35.84999999999999
88,16,524.8399999999998
81,4,131.4
276,9,49.48
40,13,167.95
99,11,83.57
11,5,53.68000000000001
34,5,19.05
60,34,707.59
298,5,88.0
96,9,68.30000000000001
9,69,342.88999999999993
41,36,149.38000000000005
11,39,754.0000000000001
67,6,110.64
332,1,165.0
31,15,422.4
3,54,987.9499999999997
2,48,896.0699999999997
68,8,157.2
5,115,2343.4499999999994
253,1,100.8
107,2,244.8
19,6,106.75
61,7,113.18
3,11,45.6
17,6,113.7
240,3,56.99999999999999
95,1,10.5
122,7,119.75
106,22,397.04000000000013
54,16,299.82
90,3,339.4
171,11,196.59
12,18,311.25
4,10,276.86
12,30,595.53
43,4,54.56
5,1,4.68
248,8,307.2
43,33,588.7899999999997
178,13,212.22
93,8,111.92
111,22,214.73
30,13,461.2000000000001
27,33,677.8799999999999
52,8,313.98
184,11,164.62
43,23,475.26
50,6,174.76000000000005
31,35,182.75
158,17,701.48
81,3,33.84
44,21,507.06000000000006
31,5,80.16
184,3,94.6
235,2,34.55
9,20,325.23
220,20,298.72
111,12,233.14
279,4,21.8
319,3,43.38
8,20,365.54
2,14,537.0
261,17,301.2999999999999
124,18,358.75
90,22,2687.34
142,1,15.9
51,8,256.5
9,22,482.82000000000005
155,4,79.7
163,10,311.68
332,6,111.3
226,1,11.9
74,7,86.30000000000003
137,2,35.099999999999994
99,12,212.66
197,2,20.94
4,36,781.22
31,6,109.45
22,4,199.92
24,64,1011.76
9,2,35.40000000000001
214,4,80.7
9,8,178.2
12,26,648.19
2,57,1054.14
8,19,793.6800000000002
4,5,84.36
41,2,50.40000000000001
18,13,283.21
9,325,9798.259999999991
9,24,542.5599999999998
118,2,168.12
223,5,96.5
72,19,364.63
52,3,208.5
89,34,566.8299999999998
9,27,671.6700000000002
243,6,96.55
47,16,262.54
107,1,9.12
45,25,647.35
65,6,142.38
333,7,93.09
11,24,271.92
115,13,208.08
243,2,40.2
164,4,90.2
18,46,967.2800000000003
136,4,58.38
23,7,84.36000000000001
68,2,29.1
94,35,596.5600000000002
17,17,342.82
197,3,59.6
243,4,116.1
219,3,65.4
46,23,363.03
22,5,169.56
128,9,67.94
39,2,32.85
121,13,274.36
261,3,47.7
11,8,25.49
275,3,31.86
165,1,51.0
235,8,236.6
216,2,18.9
6,3,48.6
80,9,138.46999999999997
44,5,25.25
20,11,189.3
32,32,675.6999999999998
23,9,36.8
135,18,1066.0
9,114,1913.41
320,1,17.0
296,1,26.1
359,1,24.95
186,22,87.09999999999998
192,3,115.85
45,9,80.97
53,11,40.2
27,28,176.65000000000003
39,12,348.01999999999987
10,4,71.05
297,2,27.9
33,26,368.13
11,35,588.6899999999998
66,11,220.1
11,51,917.61
219,2,29.75
3,67,682.0500000000002
66,8,110.52
3,21,498.97999999999985
150,4,153.14
5,38,805.9599999999998
218,6,546.8100000000002
34,15,205.01
120,1,15.3
108,12,471.99
11,21,589.42
72,11,324.41
93,36,257.50999999999993
311,3,286.2000000000001
43,9,114.13
363,3,14.45
92,25,347.4600000000001
2,102,1044.5499999999997
43,2,36.1
4,29,499.59
11,37,202.57
100,4,48.36
58,7,197.37
1,46,829.7200000000001
24,55,1046.62
64,6,99.58
8,23,218.89
303,2,43.2
10,92,515.18
38,1,69.6
99,1,9.48
307,3,47.5
9,10,412.74000000000007
1,12,466.63999999999993
54,20,314.27
1,60,266.84
19,20,344.00000000000006
365,4,12.0
19,34,158.56
181,6,80.55000000000003
61,17,94.84
11,8,35.91
191,5,34.43
6,188,636.6600000000002
156,6,227.6
149,26,340.42
67,38,309.34
206,1,76.32000000000002
247,23,134.35000000000002
30,10,408.3
18,10,50.65000000000001
12,11,109.04
104,54,365.22999999999985
283,1,85.0
47,2,32.3
72,8,252.85
258,4,55.75
51,1,179.0
254,2,48.4
165,3,54.8
19,26,253.61
51,3,78.2
39,11,39.71
27,29,223.15000000000003
68,12,188.48
208,4,52.5
176,3,50.15
8,24,465.48
26,1,30.0
122,1,19.8
312,3,50.97
310,6,105.96
43,34,441.07000000000016
27,41,165.94999999999996
184,4,93.18
20,127,444.17999999999984
4,29,786.11
48,21,121.83
18,152,1150.38
18,57,353.58
41,24,333.16
23,14,83.95999999999998
12,20,315.64
188,5,75.35000000000002
207,2,53.65
62,11,125.08
18,18,365.97999999999985
34,5,75.95
65,5,64.09
2,1,62.40000000000001
93,3,189.42
109,2,22.4
32,28,293.95999999999987
20,57,728.68
3,187,1628.8800000000015
38,4,150.24
61,42,122.15000000000002
26,53,742.5799999999998
237,7,96.45
25,12,447.06
3,108,1082.5
61,75,711.72
260,2,59.5
58,3,100.68
65,2,32.7
16,5,114.0
10,15,200.32
169,25,299.6400000000001
31,13,546.4300000000002
25,24,406.8
6,70,503.6999999999999
4,79,1008.0100000000003
318,2,326.4
312,8,40.08000000000001
11,8,103.81
205,2,27.64
152,9,31.119999999999994
20,18,166.84000000000003
11,53,709.0799999999997
303,3,32.45
86,5,260.46000000000004
8,14,338.95999999999987
76,9,140.61
4,95,1040.98
96,29,725.87
57,4,176.4
2,2,4.15
281,8,49.6
41,57,451.38
180,24,140.95000000000005
13,21,162.32
4,5,59.03
17,5,57.95000000000001
41,2,21.46
6,62,173.88000000000008
170,11,113.52
51,7,38.51
277,4,34.44
19,59,204.12
16,37,190.35
36,29,82.98
22,32,223.36
8,4,28.98
25,17,297.47
12,8,138.92
45,11,51.03
306,7,123.75000000000004
11,1,35.40000000000001
275,1,510.0
2,512,2353.590000000002
19,15,3195.06
5,6,580.6
243,1,158.4
10,2,60.0
246,3,51.90000000000001
206,5,76.46000000000002
2,23,499.54
185,6,64.7
33,31,176.86999999999995
58,1,15.6
197,8,145.6
24,25,491.6
92,8,153.03
5,25,131.26000000000002
51,12,325.8400000000001
263,1,15.9
267,4,82.45
37,6,127.8
51,3,113.99
53,36,609.3100000000002
25,21,497.7400000000002
22,3,59.75999999999999
171,2,29.72
68,6,146.3
157,8,127.19
202,7,120.35
5,36,265.57
68,24,136.02
78,4,13.79
2,39,344.52
9,4,162.2
170,17,65.89
18,25,162.22000000000003
6,6,39.09
9,40,402.61
87,6,31.47
29,28,116.83
20,22,106.72
61,19,404.41999999999985
25,3,34.3
11,105,1810.29
242,44,306.58999999999986
281,30,138.18
235,15,179.50000000000009
4,10,167.25
17,22,108.7
32,9,765.96
72,38,3439.94
212,1,340.0
202,1,20.8
26,92,336.76999999999975
107,2,49.8
8,53,836.05
209,3,17.7
45,12,99.68
31,13,469.09000000000015
138,11,97.85
265,2,134.1
5,24,411.4
219,5,29.09
2,37,252.57
215,3,39.45
33,27,581.33
11,77,630.5199999999999
2,66,716.2500000000003
15,5,68.53
20,89,323.3199999999999
3,4,186.0
16,36,918.95
15,24,91.86000000000004
11,69,615.32
30,6,393.9
10,54,368.68
25,1,11.6
25,18,192.68
44,17,122.19
2,40,261.2899999999999
6,6,83.1
148,5,29.15
11,54,195.58
25,14,216.8
275,4,135.2
2,91,431.3599999999997
48,12,117.42999999999998
9,35,621.5
17,40,1874.38
4,33,932.0899999999997
4,7,516.75
43,2,14.86
20,10,579.5999999999998
198,17,329.7
12,15,402.45999999999987
17,4,107.95
113,16,324.87
250,3,55.6
30,10,149.95
44,2,260.64
88,5,100.3
45,9,159.28
10,42,912.87
16,6,100.78
76,4,93.92
145,19,407.0
5,32,524.0
298,2,43.6
335,1,10.2
264,3,27.96
30,8,52.82000000000001
9,21,445.72
18,2,89.10000000000002
3,233,2220.16
233,12,195.66
113,3,47.25
59,13,196.62
52,27,565.32
128,11,226.06
324,6,67.65
55,7,123.22
320,1,25.200000000000006
27,2,30.0
8,4,94.6
29,3,30.66
22,2,23.2
3,12,204.06
167,1,23.85
2,217,1434.5800000000008
53,3,46.72
52,1,5.8
48,57,586.0
62,13,41.65
163,14,221.25000000000003
9,2,73.1
16,13,169.6
76,4,70.14
40,30,336.48
41,49,416.13000000000005
37,6,86.52
201,14,237.04
74,13,224.53
65,3,83.85
22,4,60.45
181,16,78.43
11,4,122.46
24,15,338.1500000000001
197,2,275.40000000000003
30,6,110.36
54,8,18.37
18,14,300.1
90,22,353.9000000000001
54,29,640.61
44,27,474.08
64,24,987.9700000000003
149,4,79.69999999999997
22,57,1175.37
312,3,45.1
24,5,57.24
59,37,693.49
25,2,191.7
79,25,430.5
120,5,113.6
37,10,244.77
60,12,234.35
13,10,217.22000000000003
20,1,40.56
26,8,151.9
30,4,86.88
39,19,4053.98
186,9,202.98
4,38,793.0600000000003
9,9,70.22
262,5,87.6
4,18,104.27
211,5,114.5
108,7,126.75
37,22,369.51
78,10,146.13
20,4,67.92
27,3,207.9
40,7,101.82999999999998
132,5,325.2
253,4,68.1
208,4,67.8
337,3,42.3
254,1,15.0
149,6,83.34
12,8,110.64
86,4,152.76
8,107,2194.1
205,1,13.5
8,10,214.64
24,23,324.4
12,8,146.58
26,6,117.9
22,64,465.23999999999984
3,13,147.94
158,5,214.0
4,23,487.9
75,1,45.0
3,9,143.53
36,14,228.98
92,6,177.98000000000005
71,13,229.03000000000003
116,14,478.91
213,14,237.29
31,15,221.95
51,9,167.94000000000003
246,1,15.8
33,4,74.6
30,30,916.6900000000003
131,1,30.0
24,18,260.47
20,4,64.0
80,1,15.6
60,25,1138.3200000000004
26,10,45.71
13,19,101.57000000000002
254,1,3.9
148,6,40.7
65,10,131.94
9,7,40.01
11,59,1467.8700000000006
271,1,70.2
10,36,248.27000000000004
248,4,29.55
97,18,211.86
15,8,59.83
50,2,109.8
31,4,13.85
69,4,182.3
36,30,215.34
129,2,14.01
108,4,97.32
38,4,19.53
58,2,85.32
58,16,205.77
73,46,371.5100000000001
247,4,50.46
20,15,80.68
199,18,46.66
16,1,81.6
212,11,103.08
39,8,28.13
47,6,134.16
171,12,111.47
48,12,77.32000000000002
116,19,238.22000000000003
148,23,147.54000000000005
16,236,1344.39
52,28,108.99000000000002
160,1,4.16
13,29,207.11
36,8,111.05
54,18,58.61
44,6,94.18
173,5,54.76000000000001
34,1,4.2
39,6,88.53999999999998
267,15,52.3
9,95,456.96
12,22,133.95000000000002
4,111,1246.71
10,25,267.59
34,16,75.4
81,8,81.54
31,9,343.49999999999994
9,7,62.35
72,1,95.4
5,19,95.89000000000004
257,3,359.5
5,102,557.1899999999997
16,72,945.7099999999997
90,2,37.05
73,25,121.84999999999998
69,19,102.22
10,305,3602.6700000000014
171,10,31.14
32,1,179.0
20,94,1578.4600000000007
152,3,98.88
10,45,983.7199999999997
270,6,100.4
66,13,66.76
26,15,371.9500000000001
24,39,394.34000000000015
320,5,22.4
5,16,143.05
13,26,71.00000000000001
316,4,211.5
26,35,286.44
41,53,319.61999999999983
9,23,87.16
4,58,6916.620000000003
72,18,340.42
214,2,45.4
38,17,529.0500000000002
54,12,252.8
79,16,357.74000000000007
47,21,116.54
180,7,109.8
94,5,205.0
10,11,201.55
106,7,144.92000000000004
78,6,261.86
173,4,63.3
8,83,1901.0199999999993
213,9,184.11
23,6,89.94999999999997
257,1,14.85
282,2,43.8
22,15,281.5200000000001
11,29,589.4999999999999
309,3,45.4
68,6,77.91000000000003
216,3,46.8
19,15,715.8399999999998
104,7,205.5
43,1,6.64
5,5,56.8
85,5,67.48
9,2,58.53
32,5,78.53999999999998
197,14,198.92
19,17,358.22
18,24,321.42
331,3,40.45
246,6,103.35
24,7,243.05
30,12,272.75
10,18,586.1
31,32,529.86
19,5,76.80000000000003
18,10,210.76
15,14,376.91
135,1,244.8
246,1,16.5
134,5,77.3
289,4,74.55000000000003
115,17,355.86000000000007
8,17,332.3900000000001
23,6,74.32000000000002
26,24,2054.34
66,8,227.52
61,20,290.82
51,13,615.7
170,4,73.2
106,11,159.56
128,8,254.12
15,19,410.18
240,2,30.0
3,22,479.43
337,2,27.9
53,17,525.24
47,6,107.5
226,2,28.200000000000006
9,41,1276.0999999999995
5,13,238.46
165,26,364.41999999999985
241,6,92.70000000000002
11,4,54.51
134,6,146.55
