review,sentiment
at the surface cooley high is a snappy ensemble comedy masquerading as a period piece set in the early 60 s complete with a flawless motown soundtrack but there s so much more to this film it gets better every time i see it the cast of unknowns at the time is excellent and it is notable as an all black cast film that doesn t fall into any blaxpoitation clichés at times cooley high almost feels like an updated urban neo realist film with lots of edgy humor added in at times the rather tight budget does show but the constraints actually serve the film well there s a grit and honesty of emotion here that lends the film an immediacy lacking in most similar minded films like schultz later car wash which was more popular but largely pointless warm hearted but also true to life this might be one of the sleepers of the 70s celebrated at the time it seems that few film freaks know about this one today their loss this is a fine fine film the bare bones pan and scan dvd no widescreen is testament to just how little cared for this excellent film is ,1
this movie i watched back in 1981 when it came out although i missed the first part of the movie what i did see was great this movie is hard to find but if found you must see the acting is great very believable sad movie if i ever find me a copy i definitely will buy me a copy to treasure ,1
mary haines meg ryan a rich woman discovers her husband is cheating on her with a younger woman eva mendes she doesn t know what to do and friends sylvia fowler annette bening edie cohen debra messing and alex fisher jad pinkett smith try to help ok there was no reason to redo the 1939 movie that s a true classic and doesn t need to be updated and redone naturally it was done this has gotten some of the worst reviews i ve ever seen for a motion picture i love the original and have seen it many times i was constantly comparing it to that now this isn t a classic but it s not that bad minor spoilers first the bad the story is old and was badly updated really a man cheating on his wife is hardly shocking today meg ryan a wonderful actress is pretty terrible here her face seems unable to change expression i couldn t believe how bad some of her scenes came over eva mendes is bad too but it s not entirely her fault her role is badly written and she has to compete with joan crawford from the original smith s character a tough lesbian goes to pieces in an operating room it is funny but it s showing that a strong woman instantly goes to pieces when confronting an emergency also the script inserts some clumsy passages where ryan talks to her daughter about being yourself in those moments it seems more like a lifetime movie than anything else now the good this movie retains the originals decision to never show a man on screen this movie is about and for women men aren t needed btw i m a man bening is just great as fowler whenever she s on screen the movie makes a great leap also smith is just wonderful she doesn t overplay or underplay her lesbian character too much messing is good too but she s not in this much bette midler is just hysterical in a small role and cloris leachman pulls off the nothing role of a housekeeper the direction is good too especially during a fashion show sequence i heard director diane english purportedly had a lot of trouble directing her first full length movie but it doesn t show in the final product also there are some clever references to the original mostly certain lines that were inserted with no fuss i saw this in an audience full of women there were a few guys but not many and they loved it the movie ends on an operating room sequence that had everybody howling so this wasn t needed but it s not the disaster people are saying it is also people are saying we don t need a movie with all women well why not i see plenty of movies with all guys in the cast and no one complains about that ignore the complaints and bad reviews and see this with a better performance by ryan i might have given this an 8 or 9 but as it is i can only give it a 7 ,1
passing stones definitely one of the best comedy independent films ever you must have a sense of humor to fully enjoy this one this film for some reason hasn t received its credit due first lets start with the story line everyone loves a good treasure hunt when a dead father leaves letters behind advising of a hidden treasure it not only brings two families together but starts a whirlwind adventure mix in a polish translator a comatose mother a crack head with turrets syndrome a twisted homosexual hypnotist and one drag queen money not only makes the world go round but can turn family into enemies my favorite character in this film would have to be the sister crack addict with turret s syndrome her sudden out burst will have you crying and mimicking for weeks ,1
gregory peck s brilliant portrayal of douglas macarthur from the battle of corregidor in the philippines at the start of the pacific war largely through to his removal as un commander during the korean war offers reason to believe all three of the above possibilities certainly the most controversial american general of the second world war and possibly ever macarthur is presented here as a man of massive contradictions he claims that soldiers above all yearn for peace yet he obviously glories in war he consistently denies any political ambitions yet almost everything he does is deliberately used to boost himself as a presidential candidate he obviously believes that soldiers under his command have to follow his orders to the letter yet he himself deliberately defies orders from the president of the united states he shows great respect for other cultures particularly in the philippines and japan and yet is completely out of touch with his own country all these things are held in balance throughout this movie and in the end the viewer is left to draw his or her own conclusions about the man although one is left with no doubt that macarthur sincerely and passionately loved his country and especially the army he devoted his life to peck s performance was as i said brilliant to the point actually of overshadowing virtually everyone else in the film which is perhaps appropriate given who he was portraying with the possible exception of ed flanders i though he offered a compelling look at harry truman and his attitude to macarthur sarcastic repeatedly referring to macarthur as his majesty angry frustrated and finally completely fed up with this general who simply won t respect his authority as president marj dusay was also intriguing as macarhur s wife jean devoted to her husband whom she herself referred to as general although their relationship seems to have been a happy enough one i very much enjoyed this movie although perhaps would have liked to have learned a little more about macarthur s early life i have always chuckled at macarthur s reaction to eisenhower being elected president he ll make a fine president he was the best damn clerk i ever had which seems to sum up what macarthur thought the role of the president should be especially to his military commanders during wartime well worth watching 8 10,1
while movie titles contains the word mother the first thing that comes to our mind will be a mother s love for her children however the mother tells a different story the mother do not discuss the love between a mother and her child or how she sacrifice herself for the benefit of her child here notting hill director roger michell tells us how a mother s love for a man about half of her age hurts the people around her before daniel craig takes on the role of james bond here he plays darren a man who is helping to renovate the house of the son of the mother and sleeping with her daughter as well anne reid who was a familiar face on tv series takes up the challenging role of the leading character may the story begins with may coping with the sudden loss of her husband toots in a family visit to her son bobby while she befriends darren a handyman who is doing some renovation in bobby s house she was shocked to found out that her daughter paula was sleeping with darren at the same time may was coping with life after the death of toots fearing that harry and paula do not wanted her may starts to find her life going off track until she spends her afternoon with darren darren was nice and friendly to may and may soon finds some affection on darren instead of treating him like a friend she treated the man who was about half her age with love of a couple later may found sexual pleasure from darren where he gave her the pleasure she could never find on anyone else and this is the beginning of the disaster that could lead to the break down of a family the mother explores the inner world of a widow who wanted to try something she never had in her life and solace on someone who is there for her to shoulder on this can be told from may buying tea time snacks for darren to fulfilling sexual needs from a man younger than her where it eventually gave her more than she bargained for anne reid has made a breakthrough for her role of may as she was previously best well known for her various role on tv series as she do not have much movies in her career resume the mother has put her on the critic s attention daniel craig on the other hand had took on a similar role in his movie career such as sylvia 2003 and enduring love 2004 if his reprising role of james bond fails film reviewers should not forget that he has a better performance in small productions in his years of movie career and the mother is one of them the mother may not be everyone s favorite but it is definitely not your usual matinée show to go along with tea and scones accompanied by butter and jam ,1
felix in hollywood is a great film the version i viewed was very well restored which is sometimes a problem with these silent era animated films it has some of hollywood s most famous stars making cameo animated appearances a must for any silent film or animation enthusiast ,1
i loved this show i think the first time i tried rocky road ice cream was due to this show wasn t the shop located like right on the beach or something i actually wrote back and forth with marci for several years i lost touch and wish i could reconnect now as adults anyone know where she is now i wish they would put it out on dvd i seriously doubt that since i think there maybe like five or six people who even remember the show airing in the first place they just don t make shows like this anymore do they i wonder if it would still hold up in this day and age do you guys know anyone that could burn dvd s of the show they taped on vhs i d be willing to pay within reason ,1
master kieslowsky came with an idea in 1993 the idea was to portrait how human relationship are in the world today passing from blue a crafted visual masterpiece about a woman s life from white a visual comedy movie about marriage and finally arriving to red a masterpiece dealing with human interaction while i m not going to spoil the move i can easily say red is the best movie from the 90 s decade because it has one of the strongest messages in a script i have ever ever seen the movie begins a little slow but finds it s rhythm early enough to keep you hooked through the whole movie the performances are perfect sublime since the characters are completely realistic and they re not clichéd in any way and one could expect no less from the actors and one doesn t get disappointed seriously i believe jean louis tringtignat deserved an oscar nod at least the music from zbiegnew preisner is amazing it s one of the best musical scores ever piotr sobocinsk cinematography is also outstanding he got an oscar nod for it and deserved to win overall the movie is a perfect 10 and will be loved by people that love foreign cinema and people who don t don t miss it how did the awful pulp fiction beat ed this masterpiece at cannes is beyond my comprehension,1
kusturika made it again another masterpiece a coral comedy full of his own landmarks with a frenetic rhythm and many glorious moments we laughed and laughed what a party the music is everywhere and also the shooting the animals the crazy bastards sex and amazing gadgets and inventions everything colorfully visual to entertain only pure cinema in essence a wonderful experience to watch and one is specially grateful since good comedies are so rare and so wonderful well this is one and if you enjoyed kusturica s previous films you ll love this although as in all comedies it is about a chemical reaction and you have to be in the mood for it ,1
i must in light of the encomia of praise for this flick from viewers assume once again the role of the turd in the punchbowl as lowell weicker used to say i am scratching my head at the sheer number of laudatory comments the african queen this ain t the period flavor is wonderful yes the acting is fine but no actor no matter how great can bring life to the seemingly endless stream of perfectly tedious and insignificant party and dinner table conversation here and i care not how much of it is taken from joyce s text imagine spending an hour and a half as a fly on the wall at a christmas dinner of a not particularly interesting group of people it s not clear to me that it s a family as one person suggested having to listen to their mundane table talk and you have the essential experience of this movie absolutely nothing happens and nothing important is said but it is said at interminable length as i said the popularity of this movie is a mystery to me speaking of mysteries watch a good one rather than this ,0
in 1979 i was a boy of 12 years old my parents had just got the home box office which was pretty new to our neighborhood as a 12 year old boy this was the first time i saw boobs on television i will never forget the joy of those times racing vans the total ass wipe with the baddest van the water bed the smoking of herbs the hot 70 s chicks the makin love in my chevy van song it was all so new to me a complete movie with all of the memories you could hope for i own it and enjoy it about once a year when i watch this movie it makes me want to get my skates with 4 wheels not in a strait line go to the park and hunt down some babes with feathered hair truly great memories of young adolescence ,1
so i got this from the rental store where i work before it was released release is 8 21 just watched it today and now i m speechless they could have had a decent movie here but they screwed it up in some painfully obvious ways first of all the parts with john krasinski were funny and are the only reason i gave it above a 3 but they are broken up by bad acting and terrible serious reflections on life between the main character andrew keegan and his girlfriend the annoying lacy chabert it would have been much much better as a straight comedy ala lock stock and two smoking barrels i wanted to like it because i think krasinski is funny and want to see him do well the story wasn t bad either just not very original but the directing and a lot of the acting was terrible i swear they had trouble keeping peoples faces in the shot and just went with it anyway their carelessness is showcased when the gun expert corrects another character and says that a dirty harry gun is not a 357 magnum but a 45 it was as everyone knows a 44 magnum so see this if you 1 really like john krasinski 2 like to watch low budget and poorly directed movies or 3 have too much time on your hands this is me ,0
alright i have to admit that i have never seen rhoda and only one or two episodes of the mary tyler moore show even though i don t know anything about this duo of comedic talent i still liked this movie a lot mary goes back to work rose tries her luck at being a comedian rhoda struggles with a photography career and meredith what exactly does she do again these three stories that we follow over two hours are amusing and entertaining in their own way when the two long time friends reunite it only makes the film better i was surprised about how good the writing was the little jokes thrown in by mary and rhoda were funny the script itself was very well put together i had seen moore and harper in other movies over the past few years and thought that they were very good but i had no idea that they worked this well as a team while both actresses do their share to fulfill the title of this movie they never seem to let me down during the run of this movie joie lenz and marisa ryan play their roles okay but nothing great the rest of the cast like jonah cecile and everybody else also works well together being that this is a reunion you would expect for a fan of either show to enjoy this from a non fan i still enjoyed this little get together good story lines for each character and the two main characters is what makes this film very good the newer version of the mtm theme song doesn t hurt either ,1
sometimes it is difficult to watch films with subtitles in this case danish but the watching is worth it as the story progresses the reasoning for the choice of two sisters to take care of their father is questionable but their society is different their choice leaves them alone until a french woman comes there may be a question on why the french woman came to their place to stay and this is never fully developed the feast which happens later as a result of unexpected funds from france is a source of unusual pleasure to all who attend and something they have not experienced before it provides a fitting thank you for the kindnesses given to the guest filmed with a dark aura and the display of poverty it is a beautiful experience for the viewer ,1
i guess if you are into the sci fi and horror stuff it might be interesting the acting was okay but not great the two pregnant girls are supposed to be fifteen but are played by obviously older actresses who turned out to be twenty and twenty one at the time the plot is okay but the story does jump around a bit leaving one guessing whether you re in boston or pennsylvania the priest seems to use warp speed between the two the catholic church is portrayed as having a secretive sect for investigating events which only happen to those of that faith what if the two girls had been protestant would the catholics of cared therefore some what contrived who knows some day the catholic church might even learn what the bible teaches if you miss this one don t feel you ve lost anything ,0
final fantasy advent children is and will remain a classic example of style over substance gone wrong instead of drawing upon the memorable characters and captivating mythology of the original game square enix has churned out a frivolous montage of incomprehensible battle scenes yes i said incomprehensible did you know that tifa knows blindingly fast kung fu techniques that magically cause the camera angle to shift every second that cloud can effortlessly suspend himself in midair for a full minute while wildly swinging away with his 2 ton sword the english dub is mediocre while not egregiously bad it is far from well produced the quality is comparable to that of an average anime dub here is what i d like to say to the die hard ffvii fans who can t stop gushing over this movie advent children is the best fan service you could have hoped for from square enix but even a trashy cg flick like galerians rion had a better story you ll be embarrassed by this movie and its lack of thought in due time the days of its novelty are numbered movies like advent children make me question whether square enix recognizes the potential of its franchises after all and no offense it s a japanese company japanese developers can deliver fun games but most of their offerings are disappointingly shallow they are utter psychos however when it comes to production quality advent children features some of the most breathtaking renders in cg history but that doesn t save it from its convoluted plot and cardboard characters any fan who followed this film knows sephiroth comes back bending the story to accommodate his resurrection was a big mistake note the one point i give this film is in honor of the 10 000 enslaved japanese animators who gave their lives to render each bleached blond hair on cloud s effeminate caucasian head ,0
and not in a fun to watch way it s just bad it s shocking that people have posted positive things about it here the story sucks the acting is bad it s not scary the special effects aren t special oh no the blackboard has hands coming out of it oh gee the mirror turned into water the hair clothes and makeup in the 50s scenes aren t accurate and they got a middle aged man with a receding hairline to play the high school version of himself this is like later on nightmare on elm street stuff i enjoy sitting down to watch a cheesy horror movie as much as anyone else but there are better bad ones out there to choose from ,0
in stand by me vern and teddy discuss who was tougher superman or mighty mouse my friends and i often discuss who would win a fight too sometimes we get absurd and compare guys like macgyver and the terminator or rambo and matrix but now it seems that we discuss guys like jackie chan bruce lee and jet li it is a pointless comparison seeing that lee is dead but it is a fun one and if you go by what we have seen from jet li in lethal 4 and black mask you have to at least say that he would match up well against chan in this film he comes across as a martial arts god black mask is about a man that was created along with many other men to be supreme fighting machines their only purpose is to win wars that other people lose they are invincible in some ways now that is the premise for the film but what that does is sets up all the amazingly choreographed fight scenes jet li is a marvel he can do things with and to his body that no human being should be able to do and that is what makes watching him so fun besides the martial arts in the film black mask is strong with humour and that is due to the chemistry that jet has with his co star the police officer they are great together but to be honest if anyone is reading this review they want to know if the film is kick ass in the action department and the answer to that is a resounding yes lots and lots of gory mindless action you will love this film ,1
certain dvd s possess me until i just have to go out and buy it this was one of those movies like many on here i remember seeing it as a child and loved it i never knew there were scenes and musical numbers that were cut so i was intrigued to see what they might be i will agree that the portabellow road sequence is now a tad long as is the soccer game but other than that i found no qualms with the remaining scenes that were put back in their respectful place perhaps disney should have had the original version which is the restored version on one side with the restored version on the flip side then people could choose what they wanted to view all in all it s still an entertaining movie that still manages to recapture some of my childhood memories ,1
very interesting to find another reviewer who had the exact same reaction to this movie as i did it was a heck of a lot better when i was 10 or 11 years old seeing it more than 30 years later it s still okay but it only mildly held my interest what seemed hugely funny back then was only mildly amusing also things that were astonishing to me as a 10 year old came across as just silly for example in one scene trinity is walking along and fires his revolver behind him and kills two men without even looking in fact he doesn t even bother to look and see if they re dead because he knows he hit the mark um yeah right in addition a lot of the dialogue sounds quite wooden sorry but 35 years later it hasn t really aged that well although it s been a long time since i ve seen that one as well probably a better terrence hill film than this one would be my name is nobody ,0
for what it is this is a pretty good movie i like both johns stamos full house stockwell christine top gun they both give strong performances the love interest is ok but this is more of a guy s movie than a good date movie i love harleys and i hated seeing them paint over the 14 coats of hand rubbed lacquer with good old army olive drab there is a small history lesson here in that harley davidson motorcycles played a key role in wwii i don t know if the training was quite like this bunches the movie kept my interest all the way through without getting slow anywhere with good riding action sequences i love looking at the demographics of the vote history one 18 year old man gave the movie a 10 true bike lover i guess i wouldn t give it a 10 but i did give it an 8 i do not weigh every movie with the same scale there are movies that were big budget with great actors that you expect to be good so when they fail they fail big star wars episode i is my best example i loved the first three sw movies but i thought episode i was weak in comparison so it gets a lower rating from me than this movie i expect more from george lucas ,1
let s get things straight i was raised catholic and in a very religious family and spent as much time at church and talking to priests as at home that was useful for two things to make a convinced atheist out of me and to give me deep insightful knowledge about the church and its dogmas and i say if a catholic priest witnesses a murder and clearly sees the face of the killer he can report it to the police even if the murderer has confessed to him afterwards he can not reveal what he s told in confession but he can talk about anything he sees outside that and confession is useless to keep his mouth shut so here we have a movie entirely sustained on a lie and another lie is there s no absolution for murder according to the catholic church there s absolution for any sin as long as there s sincere repentance so far the biggest plot holes in this weak thriller as people frequently say this movie would have improved if bob hoskins and alan bates had switched roles hoskins is naturally suitable to play gangsters i will never lament enough that he lost al capone in favor of one of de niro s weakest performances in the untouchables and bates features would have been perfect as the priest with a gray past but above that i think the film would have been much better had real life ulster native liam neeson back then mostly unknown to big audiences played mickey rourke s part not only his face is perfect to play tormented characters but he d make us believe the character as real something rourke just can t back in the 80s rourke was not a bad actor afterwards he seemed to lose his talent along with his looks but he was one of those performers like brad dourif who s as good as the director he works with and as a former ira terrorist rourke s acting comes across more like a pimp sad to think that had this movie been made just some three to six years later when neeson achieved moderate celebrity status in 1990 with sam raimi s enjoyable darkman and superstardom in 1993 with schindler s list while rourke became pretty much of a forgotten has been liam and mickey could have switched parts to greater benefit rourke would have been effective in the supporting role of docherty but just can t carry this movie along as the lead yet another missed opportunity and yet another film with the potential of being a classic that became instantly forgettable fare ironically enough the often criticized score by underrated composer bill conti worked for me i didn t find it overly melodramatic but suitably gritty and beautiful it reminded me of howard shore s score for the silence of the lambs here s to mike hodges talent who made get carter yes but don t forget he s the mastermind behind flash gordon as well it seems the film was massacred in the cutting room it shows as some parts are really choppy and confusing and others just don t glue and a director s cut is waiting to see the light ok but i seriously doubt that will make it a great movie as we ll still have the bad casting and the false premise there 4 10 ,0
as with all environmentally aware films from the 1970s soylent green has a rather cheesy view of what ecological meltdown is overpopulation means there s too many people to feed i was under the impression that famines were caused by either war or failed economic policies stalin s policy in the soviet union in the 1930s left millions dead because of famine and to this day the greatest man made tragedy was mao s rural policy in china which led over 30 million starvation deaths in the 1950s and let s not forget the great famines in the horn of africa in the 1980s and 90s which were to do with conflicts not overpopulation you might like to also consider that two of the most heavily populated areas on earth hong kong and macau have never suffered a famine in modern times likewise the expansion of shanty towns around cities as seen here isn t strictly down to overpopulation it s down to economic factors where people flock to cities to find better paid work than in the countryside it s a symptom of industrial progress not of too many births so the image of the streets of new york city being too congested to walk through and of having people sleep in stairwells is somewhat laughablebut don t be fooled into thinking soylent green is a pile of corny tree hugging crap because i consider this to be the best ecological film of the70s it plays on the contempary audience s knowledge of the world where sol and thorn are beside themselves with joy at finding fruit brandy and fresh meat thorn gasps in amazement at having ice in his whisky puffs on a cigarette and delivers the classic line if i could afford it i d smoke two maybe three of these a day but it s the visage of the euthanasia chamber that s memorable as thorn gazes at the images of wild animals flowers running water and snow covered mountains a world thorn s generation has never known this is a very haunting scene which makes soylent green a very memorable film combined with the fact it features the final screen appearance of edward g robinson as the wise old jew sol roth,1
on the scale of 1 to 10 i gave this a 4 i thought the film was not very good with too much violence and not one character to like on an erotic scale i give this a 6 many of the sex scenes were tinged with an underlying ugliness i always enjoy nudity and nancy travis and faye grant come through but the sex scenes were more humiliating than erotic ,0
my daughter liked it but i was aghast that a character in this movie smokes as if it isn t awful enough to see product placement actors like bruce willis who smoke in their movies at least children movies should be more considerate i wonder was that intentional did big tobacco sponsor the film what does it take to ban smoking from films at least films intended for children and adolescents my daughter liked it but i was aghast that a character in this movie smokes as if it isn t awful enough to see product placement actors like bruce willis who smoke in their movies at least children movies should be more considerate i wonder was that intentional did big tobacco sponsor the film what does it take to ban smoking from films at least films intended for children and adolescents ,0
waldemar daninsky paul naschy travels to tibet and is bitten by a yeti which causes him to become a werewolf he is accidentally killed after he attacks his cheating wife and her lover and is later revived by a female scientist dr ilona ermann who uses him in mind control experiments daninsky later discovers an underground asylum populated by the bizarre subjects of the doctor s failed experiments upon hearing of naschy s death from colleague jon kitley i rummaged through my collection for a suitable film to watch in my scramble i found i own not one but three copies of fury of the wolfman the film is of questionable video quality the sound is dubbed in a mediocre fashion the cinematography is sort of slapstick style at times and the american versions have two love scenes removed quite frankly without a remastered uncut copy i wasn t really getting the proper movie in all its glory this film claims to be the fourth in a long series about the werewolf count waldemar daninsky i suspect this is true but you wouldn t know this from the film itself the plot is confusing at times and there s really no indication that this is a sequel if you read the plot summaries on wikipedia and compare them to what is printed on the box you ll see that i m not alone in my confusion perhaps the film s shortcomings can be forgiven if we understand the production hell it went through while floating around for years it was only released in 1973 due to problems involved in finding a distributor and naschy said in his autobiography that the director zabalza was an incompetent alcoholic and that he hated working with him those really aren t light accusations and i have no idea what zabalza had to say on his own behalf chances are sooner or later you ll come across a low grade version of fury of the wolfman it appears in a variety of three packs and box sets so you might accidentally acquire it and not even know what really needs to happen is an american uncut version with a decent sound and video mix and the love scenes thrown back in as far as i know this does not exist let us honor paul naschy s legacy and get his films to a wider audience in a level of quality he deserves ,0
dressed to kill starts off with kate miller angie dickinson having a sexually explicit nightmare later on that day she visits her psychiatrist dr robert elliott michael caine for a session in which she admits to be sexually frustrated unfulfilled in her current marriage kate then visits a museum picks up a stranger they go back to his apartment for casual sex when done kate is set to leave but is attacked killed in the buildings elevator by a razor blade wielding blonde woman prostitute liz blake nancy allen discovers the gruesome scene sees the killer but manages to escape detective marino dennis franz says he suspects liz as being the killer as there are no other witnesses so liz teams up with kate s son peter keith gordon to track down the real killer clear liz s name see that justice is done written directed by brian de palma i thought dressed to kill was a good solid psychological murder mystery the script is measured slow at times but it likes to focus on the character s so you really know them the entire first twenty minutes is just developing kate as a character before she is suddenly killed off then the film switches it s attentions to liz no one else gets a look in this way dressed to kill is quite absorbing engaging unfortunately the character s themselves aren t exactly likable i found some of the dialogue quite funny at times especially the dirty talk that liz spouts occasionally the killers motives are somewhat plausible but i guess you d have to be pretty messed up to do anything suggested in dressed to kill it s a good film but it didn t excite me that much i didn t really find any character to root for or like the film tacks on a needless unnecessary twist ending that i didn t really see the point of director de palma directs with style visual flair from the art museum sequence to a car chase as a whole it s impeccably filmed throughout i d imagine that every shot in dressed to kill had a great deal of thought put into it i felt the film was a bit flat uninspired at times though nothing about it really excited me that much there is a fair bit of nudity some sex rape along with a few bits of gore violence kate s murder by razor blade in the elevator being the highlight if that s the right word however it s by no means as shocking or controversial when viewed today as many would have you believe with a supposed budget of about 6 500 000 dressed to kill has that glossy high production value feel of a hollywood film the new york locations are nice the cinematography is good as a whole it s extremely well made i thought the music was inappropriate was far to loud intrusive the acting is ok but despite his top billing i didn t think caine had that much screen time allen was married to director de palma at the time dressed to kill was made interestingly out of the four films she appeared in made by de palma in two of them this blow out 1981 he cast her as a prostitute a body double was used for dickinson as she pleasures herself in a shower at the start dressed to kill is a good thriller that is well worth watching but i didn t think it quite lived up to it s lofty reputation good but not brilliant ,1
i enjoyed this movie a lot i thought that the plot of the movie was realistic and relevant to anytime period in american history there is always that woman that does what she needs to do to climb the class system i feel that the character of lilly was portrayed correctly and could of not been done better what i enjoyed most was when she realized what love really was throughout the movie all of the men that fell for her were in love with her had given her everything even lost their careers for her until she had met cortland she did not understand why these men gave up everything for happiness the way her life had ended up was far from what she expected to be possible i d recommend this movie to anyone of a mature audience so you are able to understand the content and the under laying meaning of the movie and plot ,1
