date,FB,GOOG
2016-02-04,110.49,708.01
2016-02-05,104.07,683.57
2016-02-08,99.75,682.74
2016-02-09,99.54,678.11
2016-02-10,101.0,684.12
2016-02-11,101.91,683.11
2016-02-12,102.01,682.4
2016-02-16,101.61,691.0
2016-02-17,105.2,708.4
2016-02-18,103.47,697.35
2016-02-19,104.57,700.91
2016-02-22,107.16,706.46
2016-02-23,105.46,695.85
2016-02-24,106.88,699.56
2016-02-25,108.07,705.75
2016-02-26,107.92,705.07
2016-02-29,106.92,697.77
2016-03-01,109.82,718.81
2016-03-02,109.95,718.85
2016-03-03,109.58,712.42
2016-03-04,108.39,710.89
2016-03-07,105.73,695.16
2016-03-08,105.93,693.97
2016-03-09,107.51,705.24
2016-03-10,107.32,712.82
2016-03-11,109.41,726.82
2016-03-14,109.89,730.49
2016-03-15,110.67,728.33
2016-03-16,112.18,736.09
2016-03-17,111.02,737.78
2016-03-18,111.45,737.6
2016-03-21,111.85,742.09
2016-03-22,112.25,740.75
2016-03-23,112.54,738.06
2016-03-24,113.05,735.3
2016-03-28,113.69,733.53
2016-03-29,116.14,744.77
2016-03-30,114.7,750.53
2016-03-31,114.1,744.95
2016-04-01,116.06,749.91
2016-04-04,112.55,745.29
2016-04-05,112.22,737.8
2016-04-06,113.71,745.69
2016-04-07,113.64,740.28
2016-04-08,110.63,739.15
2016-04-11,108.99,736.1
2016-04-12,110.61,743.09
2016-04-13,110.51,751.72
2016-04-14,110.84,753.2
2016-04-15,109.64,759.0
2016-04-18,110.45,766.61
2016-04-19,112.29,753.93
2016-04-20,112.42,752.67
2016-04-21,113.44,759.14
2016-04-22,110.56,718.77
2016-04-25,110.1,723.15
2016-04-26,108.76,708.14
2016-04-27,108.89,705.84
2016-04-28,116.73,691.02
2016-04-29,117.58,693.01
2016-05-02,118.57,698.21
2016-05-03,117.43,692.36
2016-05-04,118.06,695.7
2016-05-05,117.81,701.43
2016-05-06,119.49,711.12
2016-05-09,119.24,712.9
2016-05-10,120.5,723.18
2016-05-11,119.52,715.29
2016-05-12,120.28,713.31
2016-05-13,119.81,710.83
2016-05-16,118.67,716.49
2016-05-17,117.35,706.23
2016-05-18,117.65,706.63
2016-05-19,116.81,700.32
2016-05-20,117.35,709.74
2016-05-23,115.97,704.24
2016-05-24,117.7,720.09
2016-05-25,117.89,725.27
2016-05-26,119.47,724.12
2016-05-27,119.38,732.66
2016-05-31,118.81,735.72
2016-06-01,118.78,734.15
2016-06-02,118.93,730.4
2016-06-03,118.47,722.34
2016-06-06,118.79,716.55
2016-06-07,117.76,716.65
2016-06-08,118.39,728.28
2016-06-09,118.56,728.58
2016-06-10,116.62,719.41
2016-06-13,113.95,718.36
2016-06-14,114.94,718.27
2016-06-15,114.6,718.92
2016-06-16,114.39,710.36
2016-06-17,113.02,691.72
2016-06-20,113.37,693.71
2016-06-21,114.38,695.94
2016-06-22,113.91,697.46
2016-06-23,115.08,701.87
2016-06-24,112.08,675.22
2016-06-27,108.97,668.26
2016-06-28,112.7,680.04
2016-06-29,114.16,684.11
2016-06-30,114.28,692.1
2016-07-01,114.19,699.21
2016-07-05,114.0,694.49
2016-07-06,116.7,697.77
2016-07-07,115.85,695.36
2016-07-08,117.24,705.63
2016-07-11,117.87,715.09
2016-07-12,117.93,720.64
2016-07-13,116.78,716.98
2016-07-14,117.29,720.95
2016-07-15,116.86,719.85
2016-07-18,119.37,733.78
2016-07-19,120.61,736.96
2016-07-20,121.92,741.19
2016-07-21,120.61,738.63
2016-07-22,121.0,742.74
2016-07-25,121.63,739.77
2016-07-26,121.22,738.42
2016-07-27,123.34,741.77
2016-07-28,125.0,745.91
2016-07-29,123.94,768.79
2016-08-01,124.31,772.88
2016-08-02,123.09,771.07
2016-08-03,122.51,773.18
2016-08-04,124.36,771.61
2016-08-05,125.15,782.22
2016-08-08,125.26,781.76
2016-08-09,125.06,784.26
2016-08-10,124.88,784.68
2016-08-11,124.9,784.85
2016-08-12,124.88,783.22
2016-08-15,123.9,782.44
2016-08-16,123.3,777.14
2016-08-17,124.37,779.91
2016-08-18,123.91,777.5
2016-08-19,123.56,775.42
2016-08-22,124.15,772.15
2016-08-23,124.37,772.08
2016-08-24,123.48,769.64
2016-08-25,123.89,769.41
2016-08-26,124.96,769.54
2016-08-29,126.54,772.15
2016-08-30,125.84,769.09
2016-08-31,126.12,767.05
2016-09-01,126.17,768.78
2016-09-02,126.51,771.46
2016-09-06,129.73,780.08
2016-09-07,131.05,780.35
2016-09-08,130.27,775.32
2016-09-09,127.1,759.66
2016-09-12,128.69,769.02
2016-09-13,127.21,759.69
2016-09-14,127.77,762.49
2016-09-15,128.35,771.76
2016-09-16,129.07,768.88
2016-09-19,128.65,765.7
2016-09-20,128.64,771.41
2016-09-21,129.94,776.22
2016-09-22,130.08,787.21
2016-09-23,127.96,786.9
2016-09-26,127.31,774.21
2016-09-27,128.69,783.01
2016-09-28,129.23,781.56
2016-09-29,128.09,775.01
2016-09-30,128.27,777.29
2016-10-03,128.77,772.56
2016-10-04,128.19,776.43
2016-10-05,128.47,776.47
2016-10-06,128.74,776.86
2016-10-07,128.99,775.08
2016-10-10,130.24,785.94
2016-10-11,128.88,783.07
2016-10-12,129.05,786.14
2016-10-13,127.82,778.19
2016-10-14,127.88,778.53
2016-10-17,127.54,779.96
2016-10-18,128.57,795.26
2016-10-19,130.11,801.56
2016-10-20,130.0,796.97
2016-10-21,132.07,799.37
2016-10-24,133.28,813.11
2016-10-25,132.29,807.67
2016-10-26,131.04,799.07
2016-10-27,129.69,795.35
2016-10-28,131.29,795.37
2016-10-31,130.99,784.54
2016-11-01,129.5,783.61
2016-11-02,127.17,768.7
2016-11-03,120.0,762.13
2016-11-04,120.75,762.02
2016-11-07,122.15,782.52
2016-11-08,124.22,790.51
2016-11-09,123.18,785.31
2016-11-10,120.8,762.56
2016-11-11,119.02,754.02
2016-11-14,115.08,736.08
2016-11-15,117.2,758.49
2016-11-16,116.34,764.48
2016-11-17,117.79,771.23
2016-11-18,117.02,760.54
2016-11-21,121.77,769.2
2016-11-22,121.47,768.27
2016-11-23,120.84,760.99
2016-11-25,120.38,761.68
2016-11-28,120.41,768.24
2016-11-29,120.87,770.84
2016-11-30,118.42,758.04
2016-12-01,115.1,747.92
2016-12-02,115.4,750.5
2016-12-05,117.43,762.52
2016-12-06,117.31,759.11
2016-12-07,117.95,771.19
2016-12-08,118.91,776.42
2016-12-09,119.68,789.29
2016-12-12,117.77,789.27
2016-12-13,120.31,796.1
2016-12-14,120.21,797.07
2016-12-15,120.57,797.85
2016-12-16,119.87,790.8
2016-12-19,119.24,794.2
2016-12-20,119.09,796.42
2016-12-21,119.04,794.56
2016-12-22,117.4,791.26
2016-12-23,117.27,789.91
2016-12-27,118.01,791.55
2016-12-28,116.92,785.05
2016-12-29,116.35,782.79
2016-12-30,115.05,771.82
