date,price
2013-07-23,27.36
2013-07-24,27.84
2013-07-25,28.27
2013-07-26,28.11
2013-07-29,27.93
2013-07-30,28.05
2013-07-31,28.09
2013-08-01,27.96
2013-08-02,27.65
2013-08-05,27.67
2013-08-06,27.32
2013-08-07,27.39
2013-08-08,27.48
2013-08-09,27.68
2013-08-12,28.35
2013-08-13,28.34
2013-08-14,28.05
2013-08-15,27.14
2013-08-16,27.32
2013-08-19,26.91
2013-08-20,27.12
2013-08-21,27.06
2013-08-22,27.9
2013-08-23,27.99
2013-08-26,27.7
2013-08-27,27.0
2013-08-28,27.11
2013-08-29,27.3
2013-08-30,27.12
2013-09-02,
2013-09-03,27.78
2013-09-04,28.07
2013-09-05,28.23
2013-09-06,28.17
2013-09-09,29.24
2013-09-10,29.48
2013-09-11,29.19
2013-09-12,29.65
2013-09-13,29.26
2013-09-16,29.62
2013-09-17,30.0
2013-09-18,30.44
2013-09-19,31.03
2013-09-20,30.92
2013-09-23,30.26
2013-09-24,31.27
2013-09-25,31.34
2013-09-26,32.75
2013-09-27,33.55
2013-09-30,33.17
2013-10-01,34.31
2013-10-02,34.14
2013-10-03,33.88
2013-10-04,34.89
2013-10-07,34.14
2013-10-08,32.93
2013-10-09,33.01
2013-10-10,33.87
2013-10-11,34.15
2013-10-14,34.0
2013-10-15,33.38
2013-10-16,33.09
2013-10-17,32.74
2013-10-18,33.43
2013-10-21,34.06
2013-10-22,33.94
2013-10-23,33.1
2013-10-24,33.08
2013-10-25,32.25
2013-10-28,32.35
2013-10-29,33.17
2013-10-30,32.57
2013-10-31,32.94
2013-11-01,33.18
2013-11-04,33.19
2013-11-05,32.97
2013-11-06,32.88
2013-11-07,32.11
2013-11-08,33.12
2013-11-11,33.82
2013-11-12,34.07
2013-11-13,35.1
2013-11-14,35.69
2013-11-15,35.47
2013-11-18,34.98
2013-11-19,34.63
2013-11-20,35.62
2013-11-21,36.3
2013-11-22,36.49
2013-11-25,36.29
2013-11-26,36.64
2013-11-27,36.96
2013-11-28,
2013-11-29,36.98
2013-12-02,37.01
2013-12-03,36.56
2013-12-04,38.13
2013-12-05,38.87
2013-12-06,38.86
2013-12-09,38.87
2013-12-10,40.22
2013-12-11,39.16
2013-12-12,39.35
2013-12-13,39.73
2013-12-16,39.73
2013-12-17,39.51
2013-12-18,40.04
2013-12-19,40.2
2013-12-20,40.12
2013-12-23,40.77
2013-12-24,40.85
2013-12-25,
2013-12-26,40.65
2013-12-27,40.49
2013-12-30,40.2
2013-12-31,40.44
2014-01-01,
2014-01-02,39.59
2014-01-03,40.12
2014-01-06,39.93
2014-01-07,40.92
2014-01-08,41.02
2014-01-09,40.92
2014-01-10,41.23
2014-01-13,39.99
2014-01-14,41.14
2014-01-15,41.07
2014-01-16,40.34
2014-01-17,40.01
2014-01-20,
2014-01-21,39.52
2014-01-22,40.18
2014-01-23,39.39
2014-01-24,37.91
2014-01-27,36.65
2014-01-28,38.22
2014-01-29,34.89
2014-01-30,35.31
2014-01-31,36.01
2014-02-03,34.9
2014-02-04,35.66
2014-02-05,35.49
2014-02-06,36.24
2014-02-07,37.23
2014-02-10,37.76
2014-02-11,38.5
2014-02-12,38.11
2014-02-13,38.52
2014-02-14,38.23
2014-02-17,
2014-02-18,38.3
2014-02-19,37.81
2014-02-20,37.79
2014-02-21,37.29
2014-02-24,37.42
2014-02-25,37.26
2014-02-26,37.62
2014-02-27,38.47
2014-02-28,38.67
2014-03-03,38.25
2014-03-04,39.63
2014-03-05,39.5
2014-03-06,39.66
2014-03-07,38.7
2014-03-10,38.05
2014-03-11,37.56
2014-03-12,37.5
2014-03-13,37.23
2014-03-14,37.6
2014-03-17,39.11
2014-03-18,39.45
2014-03-19,38.61
2014-03-20,37.77
2014-03-21,37.94
2014-03-24,36.68
2014-03-25,35.93
2014-03-26,35.45
2014-03-27,35.59
2014-03-28,35.9
2014-03-31,35.9
2014-04-01,36.49
2014-04-02,36.64
2014-04-03,35.76
2014-04-04,34.26
2014-04-07,33.07
2014-04-08,33.83
2014-04-09,34.87
2014-04-10,33.4
2014-04-11,32.87
2014-04-14,33.44
2014-04-15,34.21
2014-04-16,36.35
2014-04-17,36.38
2014-04-18,
2014-04-21,36.4
2014-04-22,36.14
2014-04-23,35.44
2014-04-24,35.24
2014-04-25,34.48
2014-04-28,33.99
2014-04-29,35.83
2014-04-30,35.95
2014-05-01,36.51
2014-05-02,36.87
2014-05-05,36.91
2014-05-06,36.49
2014-05-07,34.07
2014-05-08,33.92
2014-05-09,33.76
2014-05-12,34.45
2014-05-13,34.4
2014-05-14,34.17
2014-05-15,33.8
2014-05-16,33.41
2014-05-19,33.89
2014-05-20,33.87
2014-05-21,34.36
2014-05-22,34.7
2014-05-23,35.02
2014-05-26,
2014-05-27,35.12
2014-05-28,34.78
2014-05-29,34.9
2014-05-30,34.65
2014-06-02,34.87
2014-06-03,34.65
2014-06-04,34.73
2014-06-05,34.94
2014-06-06,35.92
2014-06-09,36.04
2014-06-10,36.31
2014-06-11,36.63
2014-06-12,36.78
2014-06-13,36.94
2014-06-16,34.81
2014-06-17,34.43
2014-06-18,34.94
2014-06-19,34.68
2014-06-20,34.05
2014-06-23,33.64
2014-06-24,33.48
2014-06-25,33.25
2014-06-26,33.66
2014-06-27,34.25
2014-06-30,35.13
2014-07-01,35.35
2014-07-02,35.88
2014-07-03,36.14
2014-07-04,
2014-07-07,35.52
2014-07-08,34.53
2014-07-09,34.85
2014-07-10,34.93
2014-07-11,35.43
2014-07-14,35.7
2014-07-15,35.61
2014-07-16,33.79
2014-07-17,33.21
2014-07-18,33.33
2014-07-21,33.28
2014-07-22,33.6
2014-07-23,34.71
2014-07-24,36.17
2014-07-25,36.12
2014-07-28,35.9
2014-07-29,35.68
2014-07-30,36.6
2014-07-31,35.81
2014-08-01,35.62
2014-08-04,36.54
2014-08-05,35.7
2014-08-06,35.79
2014-08-07,35.66
2014-08-08,35.91
2014-08-11,35.79
2014-08-12,35.52
2014-08-13,36.19
2014-08-14,36.36
2014-08-15,36.47
2014-08-18,37.38
2014-08-19,37.83
2014-08-20,37.5
2014-08-21,37.64
2014-08-22,38.01
2014-08-25,37.71
2014-08-26,37.79
2014-08-27,38.18
2014-08-28,38.31
2014-08-29,38.51
2014-09-01,
2014-09-02,39.27
2014-09-03,38.87
2014-09-04,39.19
2014-09-05,39.59
2014-09-08,41.81
2014-09-09,40.78
2014-09-10,41.14
2014-09-11,41.26
2014-09-12,42.88
2014-09-15,42.55
2014-09-16,42.71
2014-09-17,42.59
2014-09-18,42.08
2014-09-19,40.93
2014-09-22,38.65
2014-09-23,39.05
2014-09-24,39.88
2014-09-25,38.95
2014-09-26,40.66
2014-09-29,40.52
2014-09-30,40.75
2014-10-01,40.32
2014-10-02,40.5
2014-10-03,41.03
2014-10-06,41.52
2014-10-07,40.93
2014-10-08,41.08
2014-10-09,41.1
2014-10-10,39.6
2014-10-13,38.38
2014-10-14,37.97
2014-10-15,37.82
2014-10-16,38.12
2014-10-17,38.45
2014-10-20,39.28
2014-10-21,40.18
2014-10-22,42.0
2014-10-23,42.6
2014-10-24,43.5
2014-10-27,44.7
2014-10-28,45.87
2014-10-29,45.43
2014-10-30,45.63
2014-10-31,46.05
2014-11-03,46.34
2014-11-04,47.08
2014-11-05,47.46
2014-11-06,47.93
2014-11-07,48.55
2014-11-10,49.41
2014-11-11,49.05
2014-11-12,50.6
2014-11-13,50.5
2014-11-14,51.75
2014-11-17,52.37
2014-11-18,51.75
2014-11-19,50.58
2014-11-20,51.25
2014-11-21,51.04
2014-11-24,51.83
2014-11-25,51.72
2014-11-26,51.93
2014-11-27,
2014-11-28,51.74
2014-12-01,50.1
2014-12-02,50.67
2014-12-03,50.28
2014-12-04,50.41
2014-12-05,50.99
2014-12-08,49.62
2014-12-09,50.51
2014-12-10,49.2
2014-12-11,49.94
2014-12-12,50.24
2014-12-15,49.82
2014-12-16,48.85
2014-12-17,50.12
2014-12-18,50.91
2014-12-19,50.88
2014-12-22,51.15
2014-12-23,50.02
2014-12-24,50.65
2014-12-25,
2014-12-26,50.86
2014-12-29,50.53
2014-12-30,51.22
2014-12-31,50.51
2015-01-01,
2015-01-02,50.17
2015-01-05,49.13
2015-01-06,49.21
2015-01-07,48.59
2015-01-08,50.23
2015-01-09,49.72
2015-01-12,48.8
2015-01-13,48.3
2015-01-14,47.51
2015-01-15,46.23
2015-01-16,46.47
2015-01-19,
2015-01-20,47.63
2015-01-21,48.18
2015-01-22,48.89
2015-01-23,48.95
2015-01-26,49.44
2015-01-27,47.99
2015-01-28,46.46
2015-01-29,43.73
2015-01-30,43.99
2015-02-02,44.68
2015-02-03,44.7
2015-02-04,44.04
2015-02-05,43.54
2015-02-06,42.94
2015-02-09,42.57
2015-02-10,43.07
2015-02-11,42.96
2015-02-12,43.92
2015-02-13,44.42
2015-02-16,
2015-02-17,43.53
2015-02-18,43.65
2015-02-19,44.37
2015-02-20,44.11
2015-02-23,43.53
2015-02-24,43.38
2015-02-25,44.43
2015-02-26,44.45
2015-02-27,44.28
2015-03-02,44.11
2015-03-03,42.62
2015-03-04,43.99
2015-03-05,44.16
2015-03-06,43.44
2015-03-09,42.98
2015-03-10,42.68
2015-03-11,42.5
2015-03-12,42.95
2015-03-13,42.87
2015-03-16,43.51
2015-03-17,43.78
2015-03-18,44.67
2015-03-19,44.98
2015-03-20,45.04
2015-03-23,44.72
2015-03-24,44.42
2015-03-25,44.2
2015-03-26,44.47
2015-03-27,45.1
2015-03-30,44.95
2015-03-31,44.44
2015-04-01,44.13
2015-04-02,44.15
2015-04-03,
2015-04-06,43.67
2015-04-07,43.61
2015-04-08,45.17
2015-04-09,45.63
2015-04-10,45.18
2015-04-13,44.77
2015-04-14,45.52
2015-04-15,45.73
2015-04-16,45.78
2015-04-17,44.45
2015-04-20,44.66
2015-04-21,44.49
2015-04-22,43.98
2015-04-23,43.7
2015-04-24,44.52
2015-04-27,44.36
2015-04-28,44.34
2015-04-29,43.28
2015-04-30,42.56
2015-05-01,42.51
2015-05-04,42.04
2015-05-05,41.3
2015-05-06,41.66
2015-05-07,43.87
2015-05-08,44.09
2015-05-11,43.6
2015-05-12,43.84
2015-05-13,44.4
2015-05-14,44.95
2015-05-15,44.75
2015-05-18,44.36
2015-05-19,40.98
2015-05-20,42.79
2015-05-21,43.68
2015-05-22,43.48
2015-05-25,
2015-05-26,42.85
2015-05-27,43.38
2015-05-28,43.07
2015-05-29,42.94
2015-06-01,43.35
2015-06-02,43.15
2015-06-03,43.21
2015-06-04,42.88
2015-06-05,42.81
2015-06-08,42.01
2015-06-09,41.63
2015-06-10,42.06
2015-06-11,40.94
2015-06-12,40.52
2015-06-15,40.47
2015-06-16,40.64
2015-06-17,40.96
2015-06-18,40.91
2015-06-19,40.51
2015-06-22,40.73
2015-06-23,40.65
2015-06-24,40.94
2015-06-25,41.06
2015-06-26,40.06
2015-06-29,38.91
2015-06-30,39.29
2015-07-01,39.33
2015-07-02,39.38
2015-07-03,
2015-07-06,38.61
2015-07-07,38.23
2015-07-08,37.23
2015-07-09,37.61
2015-07-10,37.92
2015-07-13,38.76
2015-07-14,38.63
2015-07-15,38.38
2015-07-16,38.91
2015-07-17,39.68
2015-07-20,39.54
2015-07-21,39.73
2015-07-22,39.24
2015-07-23,39.21
2015-07-24,38.85
2015-07-27,37.84
2015-07-28,37.72
2015-07-29,37.67
2015-07-30,37.42
2015-07-31,36.67
2015-08-03,36.69
2015-08-04,37.12
2015-08-05,37.25
2015-08-06,36.46
2015-08-07,36.67
2015-08-10,37.15
2015-08-11,36.03
2015-08-12,34.49
2015-08-13,35.93
2015-08-14,36.24
2015-08-17,36.1
2015-08-18,35.69
2015-08-19,35.19
2015-08-20,34.1
2015-08-21,32.93
2015-08-24,31.31
2015-08-25,31.74
2015-08-26,32.52
2015-08-27,33.69
2015-08-28,33.14
2015-08-31,32.24
2015-09-01,31.6
2015-09-02,31.77
2015-09-03,32.54
2015-09-04,31.58
2015-09-07,
2015-09-08,30.9
2015-09-09,31.52
2015-09-10,31.15
2015-09-11,31.43
2015-09-14,30.32
2015-09-15,31.04
2015-09-16,31.4
2015-09-17,30.93
2015-09-18,30.74
2015-09-21,31.17
2015-09-22,30.4
2015-09-23,29.74
2015-09-24,29.34
2015-09-25,29.13
2015-09-28,27.6
2015-09-29,28.26
2015-09-30,28.91
2015-10-01,28.91
2015-10-02,30.71
2015-10-05,30.85
2015-10-06,30.96
2015-10-07,31.87
2015-10-08,32.37
2015-10-09,32.52
2015-10-12,32.86
2015-10-13,32.34
2015-10-14,32.09
2015-10-15,33.48
2015-10-16,33.37
2015-10-19,33.5
2015-10-20,32.83
2015-10-21,31.12
2015-10-22,31.67
2015-10-23,33.17
2015-10-26,33.4
2015-10-27,34.3
2015-10-28,35.18
2015-10-29,35.05
2015-10-30,35.62
2015-11-02,35.27
2015-11-03,34.72
2015-11-04,35.07
2015-11-05,35.12
2015-11-06,34.2
2015-11-09,33.68
2015-11-10,33.99
2015-11-11,33.38
2015-11-12,33.23
2015-11-13,32.19
2015-11-16,32.94
2015-11-17,32.86
2015-11-18,32.98
2015-11-19,32.62
2015-11-20,33.11
2015-11-23,33.36
2015-11-24,32.96
2015-11-25,33.16
2015-11-26,
2015-11-27,32.94
2015-11-30,33.81
2015-12-01,33.71
2015-12-02,35.65
2015-12-03,34.34
2015-12-04,34.91
2015-12-07,34.68
2015-12-08,34.85
2015-12-09,34.4
2015-12-10,34.63
2015-12-11,32.91
2015-12-14,32.59
2015-12-15,33.03
2015-12-16,33.78
2015-12-17,33.23
2015-12-18,32.95
2015-12-21,32.96
2015-12-22,34.19
2015-12-23,34.45
2015-12-24,34.11
2015-12-25,
2015-12-28,33.6
2015-12-29,34.04
2015-12-30,33.37
2015-12-31,33.26
