Unnamed: 0,country,food_category,consumption,co2_emission
285,United Kingdom,soybeans,0.05,0.02
286,United Kingdom,nuts,4.18,7.4
287,Austria,pork,52.56,186.04
288,Austria,poultry,18.61,19.99
289,Austria,beef,17.14,528.9
290,Austria,lamb_goat,1.16,40.62
291,Austria,fish,12.16,19.42
292,Austria,eggs,14.68,13.49
293,Austria,dairy,258.09,367.62
294,Austria,wheat,81.1,15.47
295,Austria,rice,3.7,4.73
296,Austria,soybeans,2.06,0.93
297,Austria,nuts,7.88,13.95
298,Oman,pork,0.01,0.04
299,Oman,poultry,31.51,33.85
300,Oman,beef,15.1,465.95
301,Oman,lamb_goat,12.87,450.71
302,Oman,fish,21.56,34.42
303,Oman,eggs,7.8,7.17
304,Oman,dairy,152.28,216.91
305,Oman,wheat,64.1,12.22
306,Oman,rice,56.55,72.37
307,Oman,soybeans,0.21,0.09
308,Oman,nuts,1.68,2.97
309,Italy,pork,40.28,142.57
310,Italy,poultry,18.61,19.99
311,Italy,beef,18.6,573.96
312,Italy,lamb_goat,0.92,32.22
313,Italy,fish,15.6,24.91
314,Italy,eggs,13.34,12.25
315,Italy,dairy,246.88,351.66
316,Italy,wheat,146.37,27.91
317,Italy,rice,5.74,7.35
318,Italy,soybeans,0.01,0.0
319,Italy,nuts,7.63,13.51
320,Bahamas,pork,32.74,115.88
321,Bahamas,poultry,45.74,49.13
322,Bahamas,beef,19.92,614.69
323,Bahamas,lamb_goat,5.22,182.8
324,Bahamas,fish,18.8,30.02
325,Bahamas,eggs,6.2,5.7
326,Bahamas,dairy,104.76,149.22
327,Bahamas,wheat,39.98,7.62
328,Bahamas,rice,23.97,30.67
329,Bahamas,soybeans,0.09,0.04
330,Bahamas,nuts,4.03,7.13
331,Portugal,pork,37.91,134.18
332,Portugal,poultry,30.14,32.38
333,Portugal,beef,16.45,507.61
334,Portugal,lamb_goat,2.38,83.35
335,Portugal,fish,45.39,72.47
336,Portugal,eggs,9.05,8.31
337,Portugal,dairy,205.04,292.06
338,Portugal,wheat,94.3,17.98
339,Portugal,rice,14.86,19.02
340,Portugal,soybeans,0.01,0.0
341,Portugal,nuts,3.91,6.92
342,Malta,pork,34.24,121.19
343,Malta,poultry,26.4,28.36
344,Malta,beef,19.22,593.09
345,Malta,lamb_goat,1.19,41.67
346,Malta,fish,24.58,39.25
347,Malta,eggs,11.64,10.69
348,Malta,dairy,190.06,270.72
349,Malta,wheat,139.58,26.62
350,Malta,rice,4.96,6.35
351,Malta,soybeans,0.05,0.02
352,Malta,nuts,5.62,9.95
353,Armenia,pork,9.67,34.23
354,Armenia,poultry,13.35,14.34
355,Armenia,beef,19.66,606.67
356,Armenia,lamb_goat,3.02,105.76
357,Armenia,fish,4.36,6.96
358,Armenia,eggs,11.69,10.74
359,Armenia,dairy,209.03,297.74
360,Armenia,wheat,130.6,24.91
361,Armenia,rice,3.18,4.07
362,Armenia,soybeans,0.0,0.0
363,Armenia,nuts,2.55,4.51
364,Slovenia,pork,28.19,99.78
365,Slovenia,poultry,23.46,25.2
366,Slovenia,beef,18.43,568.71
367,Slovenia,lamb_goat,0.79,27.67
368,Slovenia,fish,7.76,12.39
369,Slovenia,eggs,9.36,8.6
370,Slovenia,dairy,235.01,334.75
371,Slovenia,wheat,103.43,19.72
372,Slovenia,rice,3.95,5.05
373,Slovenia,soybeans,0.75,0.34
374,Slovenia,nuts,5.28,9.35
375,Chile,pork,24.68,87.35
376,Chile,poultry,36.52,39.23
377,Chile,beef,23.86,736.27
378,Chile,lamb_goat,0.42,14.71
379,Chile,fish,7.65,12.21
380,Chile,eggs,9.97,9.16
381,Chile,dairy,116.11,165.39
382,Chile,wheat,104.74,19.97
383,Chile,rice,8.85,11.33
384,Chile,soybeans,0.04,0.02
385,Chile,nuts,2.22,3.93
386,Venezuela,pork,7.23,25.59
387,Venezuela,poultry,39.28,42.19
388,Venezuela,beef,25.89,798.91
389,Venezuela,lamb_goat,0.32,11.21
390,Venezuela,fish,8.34,13.32
391,Venezuela,eggs,5.63,5.17
392,Venezuela,dairy,117.79,167.78
393,Venezuela,wheat,49.17,9.38
394,Venezuela,rice,23.39,29.93
395,Venezuela,soybeans,0.0,0.0
396,Venezuela,nuts,0.35,0.62
397,Belgium,pork,38.65,136.8
398,Belgium,poultry,12.2,13.11
399,Belgium,beef,15.63,482.31
400,Belgium,lamb_goat,1.32,46.23
401,Belgium,fish,18.97,30.29
402,Belgium,eggs,12.59,11.57
403,Belgium,dairy,236.19,336.43
404,Belgium,wheat,111.91,21.34
405,Belgium,rice,8.61,11.02
406,Belgium,soybeans,0.07,0.03
407,Belgium,nuts,7.32,12.96
408,Germany,pork,51.81,183.38
409,Germany,poultry,17.75,19.07
410,Germany,beef,13.16,406.09
411,Germany,lamb_goat,0.73,25.56
412,Germany,fish,11.16,17.82
413,Germany,eggs,12.2,11.21
414,Germany,dairy,258.7,368.49
415,Germany,wheat,83.41,15.91
416,Germany,rice,3.34,4.27
417,Germany,soybeans,0.88,0.4
418,Germany,nuts,7.96,14.09
419,Russia,pork,25.66,90.82
420,Russia,poultry,27.5,29.54
421,Russia,beef,16.98,523.97
422,Russia,lamb_goat,1.4,49.03
423,Russia,fish,20.82,33.24
424,Russia,eggs,15.43,14.17
425,Russia,dairy,163.57,232.99
426,Russia,wheat,130.99,24.98
427,Russia,rice,4.71,6.03
428,Russia,soybeans,0.05,0.02
429,Russia,nuts,1.62,2.87
430,Croatia,pork,42.79,151.46
431,Croatia,poultry,8.52,9.15
432,Croatia,beef,12.41,382.95
433,Croatia,lamb_goat,1.71,59.88
434,Croatia,fish,15.83,25.28
435,Croatia,eggs,8.48,7.79
436,Croatia,dairy,231.02,329.06
437,Croatia,wheat,106.59,20.33
438,Croatia,rice,2.64,3.38
439,Croatia,soybeans,0.0,0.0
440,Croatia,nuts,3.88,6.87
441,Belarus,pork,40.37,142.89
442,Belarus,poultry,31.29,33.61
443,Belarus,beef,17.11,527.98
444,Belarus,lamb_goat,0.11,3.85
445,Belarus,fish,15.75,25.15
446,Belarus,eggs,15.86,14.57
447,Belarus,dairy,133.73,190.49
448,Belarus,wheat,60.48,11.53
449,Belarus,rice,3.17,4.06
450,Belarus,soybeans,0.3,0.14
451,Belarus,nuts,3.36,5.95
452,Spain,pork,48.92,173.15
453,Spain,poultry,28.63,30.75
454,Spain,beef,12.15,374.92
455,Spain,lamb_goat,2.16,75.64
456,Spain,fish,28.83,46.03
457,Spain,eggs,13.32,12.24
458,Spain,dairy,164.29,234.01
459,Spain,wheat,93.88,17.9
460,Spain,rice,8.32,10.65
461,Spain,soybeans,0.02,0.01
462,Spain,nuts,7.44,13.17
463,Paraguay,pork,26.24,92.88
464,Paraguay,poultry,6.39,6.86
465,Paraguay,beef,19.81,611.29
466,Paraguay,lamb_goat,0.56,19.61
467,Paraguay,fish,3.6,5.75
468,Paraguay,eggs,18.83,17.3
469,Paraguay,dairy,75.72,107.86
470,Paraguay,wheat,31.51,6.01
471,Paraguay,rice,4.91,6.28
472,Paraguay,soybeans,0.0,0.0
473,Paraguay,nuts,1.6,2.83
474,New Caledonia,pork,19.9,70.44
475,New Caledonia,poultry,44.36,47.65
476,New Caledonia,beef,16.07,495.89
477,New Caledonia,lamb_goat,1.95,68.29
478,New Caledonia,fish,19.38,30.94
479,New Caledonia,eggs,8.85,8.13
480,New Caledonia,dairy,108.0,153.84
481,New Caledonia,wheat,81.75,15.59
482,New Caledonia,rice,17.47,22.36
483,New Caledonia,soybeans,0.55,0.25
484,New Caledonia,nuts,2.96,5.24
485,South Africa,pork,4.16,14.72
486,South Africa,poultry,37.57,40.36
487,South Africa,beef,18.03,556.37
488,South Africa,lamb_goat,4.28,149.89
489,South Africa,fish,5.56,8.88
490,South Africa,eggs,7.21,6.62
491,South Africa,dairy,55.75,79.41
492,South Africa,wheat,60.13,11.47
493,South Africa,rice,17.41,22.28
494,South Africa,soybeans,1.27,0.57
495,South Africa,nuts,1.04,1.84
496,Barbados,pork,8.3,29.38
497,Barbados,poultry,42.62,45.78
498,Barbados,beef,13.13,405.16
499,Barbados,lamb_goat,4.08,142.88
500,Barbados,fish,37.41,59.73
501,Barbados,eggs,9.61,8.83
502,Barbados,dairy,110.48,157.37
503,Barbados,wheat,65.71,12.53
504,Barbados,rice,15.66,20.04
505,Barbados,soybeans,0.1,0.05
506,Barbados,nuts,4.16,7.36
507,Lithuania,pork,45.67,161.65
508,Lithuania,poultry,26.84,28.83
509,Lithuania,beef,4.49,138.55
510,Lithuania,lamb_goat,0.24,8.4
511,Lithuania,fish,42.39,67.68
512,Lithuania,eggs,13.11,12.04
513,Lithuania,dairy,295.46,420.85
514,Lithuania,wheat,121.59,23.19
515,Lithuania,rice,3.07,3.93
516,Lithuania,soybeans,0.02,0.01
517,Lithuania,nuts,2.13,3.77
518,Turkey,pork,0.01,0.04
519,Turkey,poultry,18.78,20.17
520,Turkey,beef,11.64,359.19
521,Turkey,lamb_goat,4.68,163.89
522,Turkey,fish,5.58,8.91
523,Turkey,eggs,8.2,7.53
524,Turkey,dairy,193.94,276.25
525,Turkey,wheat,169.96,32.41
526,Turkey,rice,10.74,13.74
527,Turkey,soybeans,1.71,0.77
528,Turkey,nuts,7.97,14.11
529,Estonia,pork,29.68,105.05
530,Estonia,poultry,21.11,22.68
531,Estonia,beef,7.19,221.87
532,Estonia,lamb_goat,0.44,15.41
533,Estonia,fish,12.78,20.41
534,Estonia,eggs,12.66,11.63
535,Estonia,dairy,284.85,405.74
536,Estonia,wheat,89.36,17.04
537,Estonia,rice,2.56,3.28
538,Estonia,soybeans,0.04,0.02
539,Estonia,nuts,4.29,7.59
540,Mexico,pork,15.23,53.91
541,Mexico,poultry,30.12,32.35
542,Mexico,beef,15.33,473.05
543,Mexico,lamb_goat,0.89,31.17
544,Mexico,fish,7.56,12.07
545,Mexico,eggs,18.34,16.85
546,Mexico,dairy,111.87,159.35
547,Mexico,wheat,35.21,6.71
548,Mexico,rice,5.64,7.22
549,Mexico,soybeans,0.02,0.01
550,Mexico,nuts,2.51,4.44
551,Costa Rica,pork,10.28,36.39
552,Costa Rica,poultry,24.47,26.29
553,Costa Rica,beef,15.23,469.97
554,Costa Rica,lamb_goat,0.02,0.7
555,Costa Rica,fish,11.32,18.07
556,Costa Rica,eggs,10.55,9.69
557,Costa Rica,dairy,183.28,261.06
558,Costa Rica,wheat,39.31,7.5
559,Costa Rica,rice,45.69,58.47
560,Costa Rica,soybeans,1.54,0.69
561,Costa Rica,nuts,1.38,2.44
562,Bolivia,pork,8.89,31.47
563,Bolivia,poultry,34.31,36.86
564,Bolivia,beef,19.78,610.37
565,Bolivia,lamb_goat,1.72,60.23
566,Bolivia,fish,2.18,3.48
567,Bolivia,eggs,5.18,4.76
568,Bolivia,dairy,46.04,65.58
569,Bolivia,wheat,49.99,9.53
570,Bolivia,rice,26.99,34.54
571,Bolivia,soybeans,0.01,0.0
572,Bolivia,nuts,9.16,16.21
573,Ecuador,pork,14.44,51.11
574,Ecuador,poultry,21.85,23.47
575,Ecuador,beef,16.61,512.55
576,Ecuador,lamb_goat,0.44,15.41
577,Ecuador,fish,5.17,8.25
578,Ecuador,eggs,8.01,7.36
579,Ecuador,dairy,139.6,198.85
580,Ecuador,wheat,39.19,7.47
581,Ecuador,rice,45.07,57.68
582,Ecuador,soybeans,0.0,0.0
583,Ecuador,nuts,0.98,1.73
584,Panama,pork,13.48,47.71
585,Panama,poultry,30.81,33.1
586,Panama,beef,20.4,629.5
587,Panama,lamb_goat,0.01,0.35
588,Panama,fish,11.05,17.64
589,Panama,eggs,4.53,4.16
590,Panama,dairy,70.29,100.12
591,Panama,wheat,38.96,7.43
592,Panama,rice,66.42,85.0
593,Panama,soybeans,3.53,1.59
594,Panama,nuts,1.05,1.86
595,Czech Republic,pork,41.17,145.72
596,Czech Republic,poultry,19.09,20.51
597,Czech Republic,beef,8.15,251.49
598,Czech Republic,lamb_goat,0.34,11.91
599,Czech Republic,fish,8.25,13.17
600,Czech Republic,eggs,11.66,10.71
601,Czech Republic,dairy,195.2,278.04
602,Czech Republic,wheat,92.67,17.67
603,Czech Republic,rice,4.79,6.13
604,Czech Republic,soybeans,0.82,0.37
605,Czech Republic,nuts,2.47,4.37
606,Romania,pork,25.31,89.58
607,Romania,poultry,15.38,16.52
608,Romania,beef,4.78,147.5
609,Romania,lamb_goat,3.41,119.42
610,Romania,fish,6.07,9.69
611,Romania,eggs,12.94,11.89
612,Romania,dairy,238.33,339.48
613,Romania,wheat,134.87,25.72
614,Romania,rice,2.59,3.31
615,Romania,soybeans,0.01,0.0
616,Romania,nuts,1.8,3.19
617,Colombia,pork,6.51,23.04
618,Colombia,poultry,27.57,29.62
619,Colombia,beef,16.36,504.84
620,Colombia,lamb_goat,0.21,7.35
621,Colombia,fish,6.01,9.6
622,Colombia,eggs,10.78,9.9
623,Colombia,dairy,108.47,154.5
624,Colombia,wheat,29.79,5.68
625,Colombia,rice,28.02,35.86
626,Colombia,soybeans,0.89,0.4
627,Colombia,nuts,0.42,0.74
628,Maldives,pork,1.22,4.32
629,Maldives,poultry,18.47,19.84
630,Maldives,beef,9.44,291.3
631,Maldives,lamb_goat,0.7,24.51
632,Maldives,fish,179.71,286.94
633,Maldives,eggs,10.79,9.91
634,Maldives,dairy,111.47,158.78
635,Maldives,wheat,77.77,14.83
636,Maldives,rice,50.73,64.92
637,Maldives,soybeans,0.2,0.09
638,Maldives,nuts,15.83,28.02
639,Cyprus,pork,38.38,135.85
640,Cyprus,poultry,24.45,26.26
641,Cyprus,beef,5.79,178.67
642,Cyprus,lamb_goat,5.05,176.85
643,Cyprus,fish,14.86,23.73
644,Cyprus,eggs,8.98,8.25
645,Cyprus,dairy,113.31,161.4
646,Cyprus,wheat,83.25,15.88
647,Cyprus,rice,4.94,6.32
648,Cyprus,soybeans,0.04,0.02
649,Cyprus,nuts,4.6,8.14
650,Serbia,pork,32.04,113.41
651,Serbia,poultry,10.64,11.43
652,Serbia,beef,7.05,217.55
653,Serbia,lamb_goat,3.56,124.67
654,Serbia,fish,5.59,8.93
655,Serbia,eggs,8.89,8.17
656,Serbia,dairy,148.53,211.57
657,Serbia,wheat,105.88,20.19
658,Serbia,rice,1.22,1.56
659,Serbia,soybeans,0.0,0.0
660,Serbia,nuts,3.31,5.86
661,United Arab Emirates,pork,0.0,0.0
662,United Arab Emirates,poultry,41.04,44.09
663,United Arab Emirates,beef,5.64,174.04
664,United Arab Emirates,lamb_goat,9.08,317.98
665,United Arab Emirates,fish,20.41,32.59
666,United Arab Emirates,eggs,8.23,7.56
667,United Arab Emirates,dairy,132.66,188.96
668,United Arab Emirates,wheat,101.29,19.32
669,United Arab Emirates,rice,56.25,71.98
670,United Arab Emirates,soybeans,0.08,0.04
671,United Arab Emirates,nuts,23.03,40.76
672,Algeria,pork,0.0,0.0
673,Algeria,poultry,7.42,7.97
674,Algeria,beef,5.6,172.8
675,Algeria,lamb_goat,7.69,269.3
676,Algeria,fish,3.74,5.97
677,Algeria,eggs,8.06,7.4
678,Algeria,dairy,141.53,201.6
679,Algeria,wheat,185.42,35.36
680,Algeria,rice,2.97,3.8
681,Algeria,soybeans,0.0,0.0
682,Algeria,nuts,2.08,3.68
683,Ukraine,pork,20.56,72.77
684,Ukraine,poultry,24.23,26.03
685,Ukraine,beef,8.96,276.49
686,Ukraine,lamb_goat,0.41,14.36
687,Ukraine,fish,15.23,24.32
688,Ukraine,eggs,18.01,16.54
689,Ukraine,dairy,145.03,206.58
690,Ukraine,wheat,105.15,20.05
691,Ukraine,rice,3.0,3.84
692,Ukraine,soybeans,0.02,0.01
693,Ukraine,nuts,2.68,4.74
694,Pakistan,pork,0.0,0.0
695,Pakistan,poultry,5.01,5.38
696,Pakistan,beef,8.82,272.17
697,Pakistan,lamb_goat,2.46,86.15
698,Pakistan,fish,1.87,2.99
699,Pakistan,eggs,2.95,2.71
700,Pakistan,dairy,183.13,260.85
701,Pakistan,wheat,113.63,21.67
702,Pakistan,rice,12.25,15.68
703,Pakistan,soybeans,0.0,0.0
704,Pakistan,nuts,0.83,1.47
705,Swaziland,pork,2.43,8.6
706,Swaziland,poultry,6.18,6.64
707,Swaziland,beef,15.1,465.95
708,Swaziland,lamb_goat,1.94,67.94
709,Swaziland,fish,1.26,2.01
710,Swaziland,eggs,1.5,1.38
711,Swaziland,dairy,56.6,80.62
712,Swaziland,wheat,37.15,7.08
713,Swaziland,rice,21.15,27.07
714,Swaziland,soybeans,0.55,0.25
715,Swaziland,nuts,6.44,11.4
716,Latvia,pork,34.96,123.74
717,Latvia,poultry,20.53,22.05
718,Latvia,beef,5.11,157.68
719,Latvia,lamb_goat,0.34,11.91
720,Latvia,fish,21.3,34.01
721,Latvia,eggs,14.03,12.89
