No.,MLSID,StreetNumberNumeric,streetaddress,STREETNAME,PostalCode,StateOrProvince,City,SalesClosePrice,LISTDATE,LISTPRICE,LISTTYPE,OriginalListPrice,PricePerTSFT,FOUNDATIONSIZE,FENCE,MapLetter,LotSizeDimensions,SchoolDistrictNumber,DAYSONMARKET,offmarketdate,Fireplaces,RoomArea4,roomtype,ROOF,RoomFloor4,PotentialShortSale,PoolDescription,PDOM,GarageDescription,SQFTABOVEGROUND,Taxes,RoomFloor1,RoomArea1,TAXWITHASSESSMENTS,TAXYEAR,LivingArea,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,CoolingDescription,APPLIANCES,backonmarketdate,ROOMFAMILYCHAR,RoomArea3,EXTERIOR,RoomFloor3,RoomFloor2,RoomArea2,DiningRoomDescription,BASEMENT,BathsFull,BathsHalf,BATHQUARTER,BATHSTHREEQUARTER,Class,BATHSTOTAL,BATHDESC,RoomArea5,RoomFloor5,RoomArea6,RoomFloor6,RoomArea7,RoomFloor7,RoomArea8,RoomFloor8,Bedrooms,SQFTBELOWGROUND,AssumableMortgage,AssociationFee,ASSESSMENTPENDING,AssessedValuation
11,RMLS,9902,9902 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,254500,5/19/2017 0:00,259990,Exclusive Right,267117,146.8552,1088,Partial,A4,common,834 - Stillwater,80,8/7/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,,7,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Main Level, Family Room, Loft",,Vinyl,,Main,12 x 10,"Informal Dining Room, Eat In Kitchen",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,,,3,0,,200,No,0
12,RMLS,9904,9904 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,253000,5/11/2017 0:00,259990,Exclusive Right,268487,145.9896,1088,Partial,A4,common,834 - Stillwater,79,7/29/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,,58,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,,,Vinyl,,Main,12 x 10,"Informal Dining Room, Eat In Kitchen, Breakfast Area",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,,,3,0,,200,No,0
13,RMLS,9894,9894 5th Street Ln N,5th Street,55042,MN,LELM - Lake Elmo,257500,3/12/2017 0:00,259990,Exclusive Right,268622,148.5863,1088,Partial,A4,common,834 - Stillwater,12,3/24/2017 0:00,0,12 x 8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room",Asphalt Shingles,Main,No,,8,Attached Garage,1733,0,Main,12 x 13,0,2017,1733,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Main Level, Family Room, Loft",,Vinyl,,Main,12 x 10,"Informal Dining Room, Eat In Kitchen",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12 x 11,Upper,11 x 13,Upper,11 x 13,Upper,,,3,0,,190,No,0
14,RMLS,9892,9892 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,272990,3/6/2017 0:00,269990,Exclusive Right,279442,154.844,1088,"Privacy, Partial",A4,COMMON,834 - Stillwater,1,6/11/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,1,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2016,1763,,2016,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal, Air-To-Air Exchanger",,"Main Level, Great Room, Loft",,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
15,RMLS,9295,9295 Lake Jane Trl N,Lake Jane,55042,MN,LELM - Lake Elmo,290000,5/18/2017 0:00,270000,Exclusive Right,270000,157.2668,1844,,A4,261 x 293 x 287 x 217,834 - Stillwater,18,6/5/2017 0:00,1,13x12,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Bar/Wet Bar Room, Laundry",Asphalt Shingles,Main,No,None,18,"Attached Garage, Tuckunder, Driveway - Asphalt, Garage Door Opener",1844,2689,Main,21x19,2692,2017,1844,,1977,Residential-Single,(SF) One Story,1.661,Central,"Cooktop, Wall Oven, Microwave, Dishwasher, Trash Compactor, Refrigerator, Washer, Dryer, Water Softener - Owned, Electronic Air Filter",,,,"Metal, Brick/Stone",,Main,12x10,"Informal Dining Room, Living/Dining Room","Full, Concrete Block, Unfinished",0,0,0,3,SF,3,"Main Floor 3/4 Bath, Walk Thru, 3/4 Basement, Separate Tub & Shower, Whirlpool",14x11,Main,12x11,Main,,,,,2,0,,0,Yes,3
16,RMLS,9930,9930 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,274000,10/15/2017 0:00,274000,Exclusive Right,274000,155.4169,1088,,A4,36X32,834 - Stillwater,2,10/17/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,2,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Loft,,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
17,RMLS,9898,9898 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,274990,9/10/2017 0:00,274990,Exclusive Right,289357,155.9784,1088,,A4,36X32,834 - Stillwater,12,9/22/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,8,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Loft,,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
18,RMLS,9924,9924 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,274000,9/1/2017 0:00,284990,Exclusive Right,288342,155.4169,1088,"Privacy, Partial",A4,COMMON,834 - Stillwater,45,10/16/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,24,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Disposal, Air-To-Air Exchanger",,"Main Level, Great Room, Loft",,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
19,RMLS,9906,9906 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,282000,5/6/2017 0:00,287452,Exclusive Right,287452,159.9546,1088,,A4,COMMON,834 - Stillwater,31,6/6/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,31,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Loft,,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
20,RMLS,9938,9938 5th St Ln N,5th St,55042,MN,LELM - Lake Elmo,280617,8/11/2017 0:00,288492,Exclusive Right,288492,159.1702,1088,,A4,COMMON,834 - Stillwater,16,8/27/2017 0:00,0,12X8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Sitting Room","Asphalt Shingles, Age 8 Years or Less",Main,No,,16,"Attached Garage, Driveway - Asphalt, Garage Door Opener",1763,0,Main,12X13,0,2017,1763,,2017,Residential-Single,(TH) Quad/4 Corners,0.05,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,Loft,,"Shakes, Metal, Vinyl, Brick/Stone",,Main,3X10,"Informal Dining Room, Kitchen/Dining Room",None,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master",12X11,Upper,11X13,Upper,11X13,Upper,,,3,0,,200,No,0
21,RMLS,9795,9795 N 5th Street Ln,5th Street,55042,MN,LELM - Lake Elmo,289871,3/3/2017 0:00,292371,Exclusive Right,292371,163.0321,698,Privacy,A4,32X60,834 - Stillwater,3,3/6/2017 0:00,1,9.5X14.5,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",Main,No,None,3,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1778,0,,,0,2016,1778,,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Main Level, Great Room, Loft",13.5X14.5,"Brick/Stone, Fiber Board",Main,Main,7.5X14.5,"Informal Dining Room, Eat In Kitchen, Kitchen/Dining Room",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, 3/4 Master",12X14.5,Upper,11.5X11.5,Upper,12.5X11,Upper,,,3,0,,190,No,0
22,RMLS,9797,9797 N 5th Street Ln,5th Street,55042,MN,LELM - Lake Elmo,282500,3/6/2017 0:00,292925,Exclusive Right,291925,158.8864,698,"Privacy, Partial",A4,32X60,834 - Stillwater,50,4/25/2017 0:00,1,9.5X14.5,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Laundry","Asphalt Shingles, Pitched, Age 8 Years or Less",Main,No,None,18,"Attached Garage, Garage Door Opener, Driveway - Asphalt",1778,0,,,0,2016,1778,,2016,Residential-Multi-Family,(TH) Side x Side,0.04,Central,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Disposal, Air-To-Air Exchanger",,"Main Level, Loft",13.5X14.5,"Brick/Stone, Fiber Board",Main,Main,7.5X14.5,"Informal Dining Room, Breakfast Area",None,2,1,0,0,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , Upper Level 3/4 Bath, Private Master, 3/4 Master",12X14.5,Upper,11.5X11.5,Upper,12.5X11,Upper,,,3,0,,190,No,0
23,RMLS,8909,8909 37th St N,37th,55042,MN,LELM - Lake Elmo,289900,6/26/2017 0:00,299900,Exclusive Right,299900,119.5957,1300,,E1,125x150,834 - Stillwater,40,9/30/2017 0:00,2,10x12,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Work Shop",Asphalt Shingles,Upper,No,,40,"Attached Garage, Garage Door Opener",1324,1974,Upper,17x14,1974,2017,2424,,1967,Residential-Single,(SF) Split Entry (Bi-Level),0.43,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,"Lower Level, Family Room",17x13,Metal,Lower,Upper,13x10,Informal Dining Room,"Walkout, Finished (Livable), Day/Lookout Windows, Concrete Block",1,0,0,2,SF,3,"Upper Level Full Bath , Private Master, 3/4 Master, 3/4 Basement",15x11,Upper,12x10,Upper,11x9,Upper,13x12,Lower,4,1100,Not Assumable,0,No,1974
24,RMLS,3597,3597 Kelvin Ave N,Kelvin,55042,MN,LELM - Lake Elmo,314500,5/13/2017 0:00,299900,Exclusive Right,299900,156.002,1200,Wood,B1,100x250,834 - Stillwater,6,6/12/2017 0:00,2,17x8,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room","Asphalt Shingles, Pitched, Age Over 8 Years",Main,No,,6,"Attached Garage, Driveway - Concrete",1380,1878,Main,19x14,1878,2016,2016,,1960,Residential-Single,(SF) One Story,0.574,Central,"Cooktop, Wall Oven, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Water Softener - Owned",,Lower Level,42x12,"Stucco, Brick/Stone",Lower,Main,13x12,"Separate/Formal Dining Room, Eat In Kitchen","Walkout, Full, Finished (Livable), Concrete Block",1,1,0,0,SF,2,"Main Floor Full Bath, Private Master, 1/2 Master",15x10,Main,12x11,Main,12x11,Lower,,,3,636,,0,Yes,0
25,RMLS,8656,8656 27th St N,27th,55042,MN,LELM - Lake Elmo,280000,5/12/2017 0:00,299900,Exclusive Right,320000,114.2857,1148,,E2,151x158x130x151,622 - North St Paul-Maplewood,32,6/26/2017 0:00,1,13x10,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, , Recreation Room, Utility Room, Porch, Den",Asphalt Shingles,Main,No,,13,"Attached Garage, Driveway - Asphalt",1850,2333,Main,17x13,2336,2016,2450,,1964,Residential-Single,(SF) Two Stories,0.498,None,"Range, Microwave, Dishwasher, Refrigerator",,Main Level,25x17,Vinyl,Main,Main,10x12,"Separate/Formal Dining Room, Breakfast Area",Full,1,1,0,0,SF,2,"Main Floor Full Bath, Upper Level 1/2 Bath",15x10,Upper,13x10,Upper,10x8,Upper,,,3,600,Not Assumable,0,Unknown,3
